drugbank_id	mcule_id
DB00163	MCULE-4717974470
DB00165	MCULE-7725975962
DB00166	MCULE-1034910084
DB00166	MCULE-3939318333
DB00166	MCULE-4196115946
DB00166	MCULE-5119858094
DB00167	MCULE-9861955295
DB00168	MCULE-6825805537
DB00168	MCULE-7062406084
DB00168	MCULE-7154634176
DB00168	MCULE-7493691716
DB00168	MCULE-8056607902
DB00168	MCULE-9164230758
DB00170	MCULE-2487773379
DB00172	MCULE-1020921088
DB00172	MCULE-2229401513
DB00172	MCULE-5856142508
DB00173	MCULE-6556342774
DB00174	MCULE-1395307434
DB00174	MCULE-1868046141
DB00174	MCULE-6923060287
DB00177	MCULE-3932863573
DB00177	MCULE-6728882368
DB00177	MCULE-7169523127
DB00177	MCULE-8348485974
DB00178	MCULE-5248389623
DB00178	MCULE-5386328912
DB00178	MCULE-8858912367
DB00179	MCULE-7119316381
DB00180	MCULE-3573201137
DB00181	MCULE-2275748923
DB00181	MCULE-4066377889
DB00181	MCULE-5448996279
DB00181	MCULE-8004972280
DB00184	MCULE-5830857858
DB00184	MCULE-8728421654
DB00190	MCULE-3361662842
DB00190	MCULE-3726796258
DB00190	MCULE-7324993238
DB00190	MCULE-9788063146
DB00193	MCULE-1882520267
DB00193	MCULE-3504250719
DB00193	MCULE-8198453745
DB00193	MCULE-9771369182
DB00194	MCULE-2748108750
DB00194	MCULE-4219451083
DB00194	MCULE-4739150481
DB00194	MCULE-5682876196
DB00194	MCULE-5882466362
DB00194	MCULE-6268373280
DB00194	MCULE-7071766082
DB00194	MCULE-7671875172
DB00194	MCULE-7821885333
DB00194	MCULE-9546992456
DB00195	MCULE-2260668292
DB00195	MCULE-9803896732
DB00196	MCULE-8641424658
DB00198	MCULE-1441617774
DB00198	MCULE-3939535663
DB00199	MCULE-2023073206
DB00199	MCULE-4566208867
DB00200	MCULE-9788063146
DB00201	MCULE-3362813910
DB00203	MCULE-2481702478
DB00206	MCULE-1769487414
DB00206	MCULE-9131256292
DB00206	MCULE-9361278292
DB00207	MCULE-8817893418
DB00208	MCULE-3408481955
DB00208	MCULE-3971692083
DB00213	MCULE-8988409059
DB00215	MCULE-1202550254
