drugbank_id	kegg_ligand_id
DB00473	C14172
DB00474	C07844
DB00477	C06906
DB00477	C07952
DB00478	C07236
DB00478	C08094
DB00479	C06820
DB00481	C07228
DB00482	C07589
DB00483	C00708
DB00483	C05590
DB00484	C07886
DB00485	C06950
DB00485	C13756
DB00489	C07309
DB00490	C06861
DB00491	C07708
DB00492	C07016
DB00493	C06885
DB00493	C08113
DB00494	C07943
DB00495	C07210
DB00497	C08018
DB00497	C08026
DB00498	C07584
DB00499	C07653
DB00500	C02328
DB00500	C07149
DB00501	C06952
DB00502	C01814
DB00503	C07240
DB00504	C07069
DB00505	C07861
DB00505	C07862
DB00505	C11761
DB00509	C01829
DB00509	C08212
DB00512	C06689
DB00513	C02378
DB00514	C06947
DB00515	C00698
DB00515	C01327
DB00516	C00001
DB00516	C01328
DB00517	C01324
DB00517	C06830
DB00517	C13645
DB00518	C01779
DB00521	C06874
DB00523	C00777
DB00523	C15493
DB00526	C00209
DB00527	C07879
DB00529	C06456
DB00531	C06933
DB00531	C07888
DB00533	C07590
DB00534	C00698
DB00534	C01327
DB00535	C08110
DB00537	C05349
DB00539	C08166
DB00540	C07274
DB00541	C07204
DB00541	C13974
DB00542	C06843
DB00542	C07701
DB00544	C07649
DB00545	C07410
DB00548	C08261
DB00549	C07206
DB00550	C07569
DB00551	C06808
DB00552	C02267
DB00553	C01864
DB00554	C01608
DB00557	C07045
DB00558	C08095
DB00560	C12012
DB00562	C07759
DB00563	C01937
DB00564	C06868
DB00565	C07548
DB00566	C07598
DB00567	C06895
DB00567	C08099
DB00569	C01330
DB00570	C07201
DB00570	C09218
DB00570	C11626
DB00571	C07407
DB00571	C11193
DB00572	C01479
DB00572	C02046
DB00573	C02539
DB00573	C06997
DB00574	C06996
DB00576	C08050
DB00577	C07184
DB00578	C06869
DB00578	C13967
DB00581	C07064
DB00582	C07622
DB00583	C00318
DB00583	C00487
DB00583	C15025
DB00584	C06977
DB00585	C07270
DB00586	C01690
DB00590	C06970
DB00592	C07973
DB00593	C07505
DB00594	C06821
DB00595	C06624
DB00595	C13055
DB00598	C07063
DB00599	C07521
DB00600	C14244
DB00601	C08146
DB00602	C07970
DB00603	C08150
DB00604	C06910
DB00605	C01531
DB00606	C12685
DB00607	C07250
DB00607	C08124
DB00608	C07625
DB00609	C07665
DB00610	C07146
DB00611	C06863
DB00612	C06852
DB00613	C07626
DB00614	C07999
DB00615	C07235
DB00617	C07411
DB00621	C07346
DB00622	C07264
DB00623	C07010
DB00624	C00535
DB00625	C08088
DB00626	C15482
DB00627	C00253
DB00628	C06921
DB00629	C07034
DB00630	C07752
DB00633	C07450
DB00634	C08051
DB00635	C07370
DB00636	C06916
DB00637	C06832
DB00639	C08065
DB00639	C08066
DB00640	C00212
DB00644	C07607
DB00645	C07881
DB00646	C06572
DB00647	C07406
DB00649	C07312
DB00650	C03479
DB00650	C17731
DB00651	C07819
DB00652	C07421
DB00653	C00059
DB00653	C00305
DB00655	C00468
DB00656	C07156
DB00657	C07511
DB00658	C14449
DB00660	C07934
DB00661	C07188
DB00662	C07178
DB00664	C12616
DB00665	C08164
DB00666	C07613
DB00667	C00009
DB00667	C00388
DB00668	C00788
DB00669	C07319
DB00670	C07508
DB00671	C06881
DB00674	C08526
DB00675	C07108
DB00677	C00202
DB00678	C07072
DB00680	C07743
DB00681	C06573
DB00682	C01541
DB00683	C07524
DB00684	C00397
DB00685	C07664
DB00687	C07004
DB00688	C07908
DB00689	C13440
DB00691	C07704
DB00694	C01907
DB00695	C07017
DB00696	C07544
DB00697	C07452
DB00698	C07268
DB00700	C12512
DB00701	C08086
DB00703	C07764
DB00704	C07253
DB00705	C06941
DB00705	C08087
DB00706	C07124
DB00708	C08022
DB00709	C07065
DB00711	C07968
DB00713	C07334
DB00715	C07415
DB00716	C07255
DB00717	C05028
DB00719	C07774
DB00721	C07375
DB00721	C07894
DB00723	C07513
DB00725	C01324
DB00725	C13645
DB00726	C14029
DB00727	C07455
DB00728	C07556
DB00729	C02704
DB00730	C07131
DB00732	C07548
DB00733	C07400
DB00735	C08071
DB00735	C08072
DB00736	C07324
DB00737	C07116
DB00738	C07420
DB00739	C11729
DB00739	C13980
DB00740	C07937
DB00742	C00392
DB00742	C00794
DB00742	C01489
DB00742	C01507
DB00742	C01697
DB00742	C01722
DB00747	C01851
DB00748	C06871
DB00749	C06991
DB00750	C07531
DB00752	C07155
DB00753	C07518
DB00754	C07839
DB00755	C00777
DB00755	C15493
DB00756	C08039
DB00757	C07866
DB00759	C06570
DB00761	C00238
DB00761	C00698
DB00761	C01327
DB00762	C11294
DB00762	C16641
DB00763	C07190
DB00764	C07816
DB00765	C07921
DB00766	C06662
DB00766	C11833
DB00768	C07789
DB00770	C04741
DB00770	C13548
DB00771	C07853
DB00772	C07497
DB00773	C01576
DB00774	C07763
DB00775	C07965
DB00776	C07492
DB00777	C07384
DB00777	C07405
DB00778	C13173
DB00779	C05079
DB00780	C07430
DB00780	C07431
DB00782	C07506
DB00782	C11762
DB00783	C00951
DB00783	C02537
DB00784	C02168
DB00787	C06810
DB00788	C01517
DB00790	C07706
DB00790	C07707
DB00791	C11686
DB00792	C07180
DB00794	C07371
DB00795	C07316
DB00797	C07147
DB00798	C07656
DB00799	C12531
DB00800	C07693
DB00802	C08005
DB00804	C06951
DB00806	C07424
DB00807	C07383
DB00810	C07941
DB00812	C07440
DB00814	C08169
DB00815	C01330
DB00815	C11166
DB00816	C07144
DB00818	C07523
DB00819	C06805
DB00821	C18364
DB00822	C01692
DB00825	C00400
DB00825	C00553
DB00826	C08073
DB00827	C08052
DB00828	C06454
DB00828	C13964
DB00829	C06948
DB00830	C07432
DB00830	C07433
DB00831	C07168
DB00832	C07437
DB00833	C06877
DB00834	C07652
DB00835	C06857
DB00836	C07080
DB00841	C06967
DB00842	C07359
DB00844	C07251
DB00845	C06915
DB00847	C01678
DB00848	C07070
DB00848	C07906
DB00848	C11337
DB00849	C07829
DB00850	C07427
DB00850	C13540
DB00851	C06936
DB00852	C01575
DB00852	C02765
DB00854	C08014
DB00855	C00430
DB00856	C07928
DB00857	C08079
DB00858	C14605
DB00859	C07418
DB00860	C07369
DB00861	C01691
DB00864	C01375
DB00865	C07538
