drugbank_id	molport_id
DB00213	MolPort-003-666-752
DB00213	MolPort-008-266-523
DB00215	MolPort-003-666-613
DB00215	MolPort-003-940-770
DB00215	MolPort-003-986-352
DB00215	MolPort-005-973-306
DB00215	MolPort-020-064-282
DB00216	MolPort-019-993-155
DB00216	MolPort-023-330-858
DB00218	MolPort-005-934-227
DB00218	MolPort-035-394-870
DB00219	MolPort-000-735-345
DB00220	MolPort-005-938-420
DB00222	MolPort-003-847-587
DB00223	MolPort-003-847-393
DB00223	MolPort-005-943-440
DB00223	MolPort-006-823-376
DB00224	MolPort-005-938-421
DB00224	MolPort-035-395-119
DB00225	MolPort-003-926-090
DB00225	MolPort-003-986-365
DB00225	MolPort-023-278-053
DB00226	MolPort-027-894-194
DB00227	MolPort-023-220-339
DB00230	MolPort-000-000-622
DB00230	MolPort-000-149-228
DB00233	MolPort-001-791-005
DB00233	MolPort-001-794-645
DB00233	MolPort-009-199-333
DB00234	MolPort-003-983-421
DB00234	MolPort-006-069-032
DB00235	MolPort-021-783-267
DB00239	MolPort-003-666-639
DB00239	MolPort-005-935-452
DB00239	MolPort-019-748-941
DB00242	MolPort-003-845-968
DB00243	MolPort-003-959-442
DB00244	MolPort-006-127-253
DB00245	MolPort-003-844-725
DB00245	MolPort-008-334-950
DB00245	MolPort-009-765-573
DB00245	MolPort-023-278-114
DB00246	MolPort-003-986-316
DB00246	MolPort-005-934-812
DB00246	MolPort-016-638-438
DB00247	MolPort-003-958-638
DB00249	MolPort-002-700-148
DB00252	MolPort-002-365-712
DB00252	MolPort-002-537-529
DB00252	MolPort-002-549-782
DB00252	MolPort-003-983-450
DB00252	MolPort-005-935-649
DB00252	MolPort-023-220-142
DB00252	MolPort-023-220-294
DB00254	MolPort-000-745-047
DB00254	MolPort-000-833-761
DB00254	MolPort-002-964-477
DB00254	MolPort-003-666-171
DB00254	MolPort-005-932-536
DB00254	MolPort-006-069-212
DB00254	MolPort-023-220-299
DB00254	MolPort-023-220-303
DB00254	MolPort-035-395-357
DB00255	MolPort-001-785-868
DB00256	MolPort-023-299-440
DB00258	MolPort-000-871-575
DB00258	MolPort-006-169-563
DB00259	MolPort-000-725-016
DB00259	MolPort-000-733-055
DB00259	MolPort-009-766-394
DB00259	MolPort-019-909-616
DB00259	MolPort-019-909-617
DB00260	MolPort-000-858-643
DB00260	MolPort-001-793-737
DB00261	MolPort-003-666-885
DB00261	MolPort-003-844-624
DB00261	MolPort-020-008-042
DB00264	MolPort-003-983-883
DB00264	MolPort-005-943-846
DB00264	MolPort-020-003-045
DB00264	MolPort-020-007-022
DB00264	MolPort-035-395-266
DB00266	MolPort-000-422-589
DB00267	MolPort-023-220-289
DB00267	MolPort-027-656-466
DB00268	MolPort-003-987-439
DB00270	MolPort-003-848-293
DB00271	MolPort-023-220-316
DB00271	MolPort-035-394-959
DB00272	MolPort-001-787-387
DB00273	MolPort-006-396-170
DB00273	MolPort-023-220-226
DB00274	MolPort-006-823-792
DB00275	MolPort-006-069-200
DB00277	MolPort-001-737-342
DB00278	MolPort-006-069-116
DB00279	MolPort-001-783-527
DB00279	MolPort-003-666-408
DB00280	MolPort-027-564-874
DB00282	MolPort-006-069-113
DB00282	MolPort-023-219-581
DB00282	MolPort-023-219-649
DB00282	MolPort-029-940-472
DB00282	MolPort-035-395-063
DB00283	MolPort-003-666-146
DB00283	MolPort-005-933-825
DB00283	MolPort-023-220-168
DB00284	MolPort-002-507-369
DB00284	MolPort-006-130-865
DB00285	MolPort-003-987-504
DB00285	MolPort-023-220-227
DB00285	MolPort-027-564-869
DB00286	MolPort-003-666-586
DB00287	MolPort-035-395-456
DB00289	MolPort-003-983-468
DB00289	MolPort-006-392-395
DB00290	MolPort-008-155-965
DB00290	MolPort-009-758-693
DB00290	MolPort-027-640-492
DB00292	MolPort-003-983-475
DB00293	MolPort-003-850-114
DB00293	MolPort-005-975-891
DB00293	MolPort-019-990-402
DB00296	MolPort-003-983-292
DB00296	MolPort-006-069-213
DB00296	MolPort-019-991-389
DB00297	MolPort-003-666-503
DB00297	MolPort-005-932-346
DB00299	MolPort-003-849-798
DB00300	MolPort-006-396-020
DB00300	MolPort-020-007-653
DB00300	MolPort-023-290-479
DB00301	MolPort-003-983-433
DB00301	MolPort-035-395-645
DB00302	MolPort-002-512-008
DB00303	MolPort-023-299-459
DB00303	MolPort-027-947-972
DB00303	MolPort-035-394-975
DB00303	MolPort-035-395-022
DB00308	MolPort-019-939-237
DB00308	MolPort-027-714-051
DB00309	MolPort-006-147-701
DB00312	MolPort-005-940-903
DB00312	MolPort-019-940-240
DB00315	MolPort-003-666-626
DB00318	MolPort-030-042-293
DB00319	MolPort-001-898-166
DB00319	MolPort-001-933-251
DB00319	MolPort-003-666-263
DB00319	MolPort-006-395-721
DB00319	MolPort-023-220-150
DB00320	MolPort-003-666-163
DB00320	MolPort-027-942-663
DB00321	MolPort-000-696-255
DB00322	MolPort-000-778-409
DB00322	MolPort-001-773-624
DB00322	MolPort-002-497-855
DB00322	MolPort-003-847-384
DB00326	MolPort-000-003-915
DB00326	MolPort-006-120-012
DB00330	MolPort-000-839-969
DB00330	MolPort-003-666-186
DB00330	MolPort-003-895-773
DB00330	MolPort-003-983-430
DB00330	MolPort-006-110-202
DB00330	MolPort-009-653-539
DB00330	MolPort-027-564-864
DB00331	MolPort-002-929-560
DB00331	MolPort-005-767-418
DB00332	MolPort-001-760-361
DB00332	MolPort-003-983-442
DB00332	MolPort-005-976-538
DB00332	MolPort-006-069-092
DB00332	MolPort-027-946-829
DB00334	MolPort-002-885-845
DB00334	MolPort-035-395-288
DB00335	MolPort-002-507-840
DB00335	MolPort-027-564-890
DB00335	MolPort-027-564-891
DB00336	MolPort-006-012-954
DB00337	MolPort-003-666-749
DB00338	MolPort-003-849-702
DB00338	MolPort-023-330-012
DB00339	MolPort-023-219-632
DB00341	MolPort-000-741-791
DB00341	MolPort-000-832-941
