drugbank_id	iuphar_id
DB00014	3879
DB00035	2181
DB00035	2182
DB00050	1190
DB00091	1024
DB00104	2055
DB00114	5249
DB00116	4675
DB00117	3310
DB00117	4623
DB00117	4670
DB00117	4679
DB00118	4786
DB00119	4809
DB00120	3313
DB00120	5797
DB00121	4787
DB00122	4551
DB00123	4681
DB00123	724
DB00125	4680
DB00125	721
DB00126	4532
DB00126	4651
DB00126	4781
DB00127	710
DB00128	3309
DB00128	4169
DB00128	4237
DB00128	4534
DB00128	4698
DB00128	6511
DB00129	4682
DB00129	725
DB00130	4633
DB00130	4634
DB00130	723
DB00131	2455
DB00132	1049
DB00133	4171
DB00133	726
DB00134	4814
DB00135	4791
DB00136	2779
DB00138	5413
DB00139	3637
DB00140	6578
DB00142	1369
DB00142	4708
DB00143	6737
DB00144	3638
DB00145	4084
DB00145	4635
DB00145	727
DB00146	6921
DB00148	4496
DB00149	3312
DB00150	5798
DB00150	717
DB00151	4537
DB00151	4782
DB00152	4628
DB00152	4629
DB00155	4683
DB00155	722
DB00156	4785
DB00157	4487
DB00158	4562
DB00158	4563
DB00159	3362
DB00160	4542
DB00160	4543
DB00160	4678
DB00160	720
DB00161	4794
DB00162	4053
DB00162	6670
DB00162	6672
DB00166	4822
DB00167	3311
DB00169	2747
DB00171	1713
DB00172	3314
DB00172	4676
DB00173	4788
DB00174	4533
DB00175	2953
DB00176	7189
DB00177	3937
DB00177	593
DB00178	6339
DB00179	4265
DB00180	7076
DB00181	1064
DB00181	1084
DB00181	3428
DB00182	2146
DB00182	2147
DB00182	4804
DB00183	870
DB00184	2585
DB00184	3978
DB00186	5884
DB00187	7178
DB00188	6391
DB00189	7180
DB00190	5159
DB00191	7269
DB00194	2844
DB00194	4806
DB00195	549
DB00197	2693
DB00199	1456
DB00201	407
DB00202	4004
DB00203	4743
DB00204	2604
DB00205	4800
DB00206	4823
DB00207	6510
DB00208	7307
DB00209	7480
DB00210	5429
DB00211	7240
DB00213	7260
DB00214	7312
DB00215	4621
DB00215	7177
DB00215	7547
DB00216	118
DB00216	40
DB00217	7618
DB00219	7257
DB00221	7205
DB00222	6820
DB00226	7193
DB00227	2739
DB00228	7175
DB00230	5484
DB00231	7300
DB00232	7235
DB00234	4808
DB00235	5225
DB00236	7271
DB00237	7137
DB00241	7138
DB00242	4799
DB00243	7291
DB00244	2700
DB00244	4655
DB00245	7601
DB00246	59
DB00247	134
DB00248	37
DB00252	2624
DB00253	7086
DB00255	2801
DB00257	2330
DB00258	1058
DB00261	7114
DB00262	6800
DB00264	553
DB00266	6808
DB00268	7295
DB00269	7146
DB00270	2513
DB00270	2733
DB00270	4488
DB00272	7126
DB00273	6849
DB00277	413
DB00278	6385
DB00279	2634
DB00280	7167
DB00281	2623
DB00282	7259
DB00283	6063
DB00284	6791
DB00285	7321
DB00286	4748
DB00286	4749
DB00287	7102
DB00288	7060
DB00289	7118
DB00291	7143
DB00292	5463
DB00293	7403
DB00294	7590
DB00295	1627
DB00296	7602
DB00297	2397
DB00297	7211
DB00298	7155
DB00302	6573
DB00304	7065
DB00305	7089
DB00307	2807
DB00308	7200
DB00310	7147
DB00311	6814
DB00312	5480
DB00313	7009
DB00315	60
DB00316	5239
DB00317	4941
DB00318	1673
DB00320	121
DB00321	200
DB00322	4801
DB00323	6646
DB00324	7079
DB00327	7082
DB00328	1909
DB00331	4503
DB00331	4779
DB00332	325
DB00333	1605
DB00333	5458
DB00335	548
DB00337	6783
DB00338	4279
DB00338	5488
DB00339	7287
DB00340	7232
DB00341	1214
DB00341	1215
DB00341	1222
DB00342	2608
DB00343	2298
DB00343	2349
DB00343	2512
DB00344	7285
DB00345	4810
DB00346	7109
DB00347	7316
DB00348	6834
DB00349	7149
DB00350	4254
DB00352	6845
DB00353	150
DB00354	7134
DB00356	2322
DB00357	7054
DB00358	4252
DB00360	5276
DB00361	7105
DB00363	38
DB00364	7055
DB00366	7171
DB00367	2881
DB00368	484
DB00368	505
DB00370	7241
DB00371	7225
DB00372	7306
DB00373	565
DB00374	5820
DB00376	7315
DB00377	7486
DB00378	2878
DB00379	2629
DB00380	7330
DB00381	6981
DB00382	6687
DB00383	7256
DB00384	4329
DB00387	7280
DB00388	485
DB00390	4725
DB00390	4726
DB00391	5501
DB00391	958
DB00391	960
DB00392	7181
DB00393	2523
DB00394	5894
DB00395	7610
DB00396	2377
DB00398	5711
DB00399	3177
DB00401	2524
DB00402	7429
DB00402	7430
DB00403	7589
DB00404	7111
DB00405	7133
DB00405	7588
DB00408	205
DB00411	298
DB00412	1056
DB00413	953
DB00414	6793
DB00418	7615
DB00419	4841
DB00420	7281
DB00421	2875
DB00422	7236
DB00422	7554
DB00423	6829
DB00424	320
DB00425	4348
DB00425	4362
DB00427	1228
DB00429	7328
DB00433	7279
DB00434	277
DB00436	7122
DB00437	6795
DB00439	2950
DB00441	4793
DB00443	2768
DB00443	3447
DB00443	7061
DB00444	6843
DB00445	7069
DB00448	5487
DB00448	7208
DB00449	7166
DB00450	7172
DB00451	2635
DB00451	4627
DB00451	6951
DB00452	709
DB00454	7221
DB00455	7216
DB00457	503
DB00457	5385
DB00458	357
DB00459	7598
DB00461	7245
DB00462	316
DB00462	317
DB00463	7230
DB00465	6661
DB00466	2291
DB00466	4051
DB00466	4286
DB00468	2342
DB00468	2510
DB00470	2424
DB00471	3340
DB00472	203
DB00473	7196
DB00474	7233
DB00475	3370
DB00476	202
