drugbank_id	pharmgkb_id
DB00672	PA448966
DB00675	PA451581
DB00676	PA164748881
DB00678	PA450268
DB00679	PA451666
DB00680	PA164747738
DB00681	PA448415
DB00682	PA451906
DB00683	PA450496
DB00690	PA449681
DB00692	PA450926
DB00693	PA164746009
DB00695	PA449719
DB00697	PA451701
DB00698	PA450640
DB00704	PA450588
DB00708	PA451527
DB00712	PA449683
DB00713	PA450725
DB00714	PA164781163
DB00715	PA450801
DB00716	PA450601
DB00717	PA450651
DB00721	PA451110
DB00722	PA450242
DB00724	PA449972
DB00726	PA451791
DB00727	PA450644
DB00730	PA10813
DB00730	PA164746466
DB00733	PA164744926
DB00734	PA451257
DB00736	PA10075
DB00736	PA450704
DB00738	PA450850
DB00739	PA164746559
DB00740	PA451251
DB00741	PA449905
DB00744	PA451955
DB00747	PA451308
DB00748	PA164746898
DB00749	PA449550
DB00750	PA451101
DB00751	PA164764489
DB00753	PA450106
DB00754	PA164768735
DB00757	PA449390
DB00758	PA449053
DB00759	PA451640
DB00761	PA451055
DB00763	PA450422
DB00767	PA164749018
DB00768	PA450698
DB00773	PA449552
DB00774	PA164752557
DB00776	PA450732
DB00779	PA164746384
DB00780	PA450903
DB00783	PA449503
DB00784	PA450347
DB00787	PA448045
DB00788	PA450595
DB00790	PA450877
DB00791	PA451830
DB00792	PA164764429
DB00793	PA164768737
DB00794	PA451105
DB00795	PA451547
DB00797	PA451716
DB00800	PA164784034
DB00801	PA164746526
DB00802	PA448084
DB00805	PA164748351
DB00806	PA450864
DB00808	PA449975
DB00812	PA450932
DB00813	PA449599
DB00814	PA450353
DB00815	PA451398
DB00818	PA451141
DB00819	PA448018
DB00822	PA449376
DB00825	PA164776605
DB00829	PA449283
DB00830	PA164747188
DB00831	PA451771
DB00832	PA164771230
DB00833	PA164749137
DB00839	PA164774902
DB00841	PA449381
DB00842	PA450731
DB00843	PA449394
DB00845	PA164748759
DB00848	PA450205
DB00850	PA450882
DB00851	PA449197
DB00852	PA449466
DB00852	PA451170
DB00854	PA164744368
DB00856	PA164784022
DB00857	PA451614
DB00860	PA451096
DB00861	PA449313
DB00863	PA451224
DB00866	PA164750541
DB00868	PA164745459
DB00869	PA164748765
DB00870	PA451569
DB00871	PA451616
DB00874	PA449818
DB00876	PA449481
DB00880	PA448953
DB00881	PA451205
DB00887	PA448682
DB00888	PA450336
DB00894	PA164743056
DB00897	PA451753
DB00898	PA448073
DB00899	PA451232
DB00904	PA450705
DB00907	PA449072
DB00908	PA451209
DB00908	PA451213
DB00909	PA451978
DB00912	PA451234
DB00913	PA164768817
DB00914	PA1000
DB00915	PA448360
DB00916	PA450484
DB00918	PA10246
DB00922	PA164749138
DB00923	PA164746057
DB00924	PA449160
DB00927	PA449586
DB00933	PA450386
DB00934	PA450322
DB00935	PA164748840
DB00938	PA451300
