drugbank_id	nikkaji_id
DB00123	J429.863B
DB00123	J9.176F
DB00123	J9.203G
DB00125	J1.237.204C
DB00125	J1.284J
DB00125	J1.972.538C
DB00125	J2.067.384B
DB00125	J2.072.154E
DB00125	J429.860H
DB00125	J429.861F
DB00125	J9.182K
DB00125	J9.186C
DB00125	J994.046D
DB00126	J1.252.034D
DB00126	J1.485.258A
DB00126	J1.814.733E
DB00126	J15.060F
DB00126	J16.920J
DB00126	J2.301I
DB00126	J2.610.373H
DB00126	J2.837A
DB00126	J301.821K
DB00126	J528.881I
DB00126	J770.978A
DB00126	J770.979J
DB00126	J940.974B
DB00127	J1.907.930I
DB00127	J5.246I
DB00128	J1.143.284K
DB00128	J1.181.511A
DB00128	J1.278E
DB00128	J1.346.816H
DB00128	J1.464.172F
DB00128	J2.082.506E
DB00128	J2.188.286K
DB00128	J216.015C
DB00128	J216.016A
DB00128	J629.802H
DB00128	J9.169C
DB00128	J9.205C
DB00129	J1.288B
DB00129	J2.188.285B
DB00129	J9.177D
DB00129	J9.191J
DB00130	J1.224.533E
DB00130	J1.279C
DB00130	J1.436.750K
DB00130	J1.436.751I
DB00130	J1.763.049K
DB00130	J1.999.639E
DB00130	J2.188.293C
DB00130	J346.712K
DB00130	J728.849B
DB00130	J9.170G
DB00130	J9.211H
DB00131	J17.878K
DB00131	J3.167.597I
DB00131	J3.209.730H
DB00131	J4.814C
DB00132	J17.685K
DB00132	J199.777G
DB00132	J2.125.145C
DB00132	J2.607.808C
DB00132	J2.615.210K
DB00132	J200.313I
DB00132	J310.439G
DB00132	J317.509J
DB00132	J319.821I
DB00132	J368.353B
DB00132	J388.255A
DB00132	J399.190C
DB00132	J399.393K
DB00132	J426.762A
DB00132	J426.763J
DB00132	J464.118C
DB00132	J5.773H
DB00132	J527.905D
DB00132	J694.842A
DB00132	J694.843J
DB00132	J962.664F
DB00132	J962.666B
DB00133	J1.021.326F
DB00133	J1.021.327D
DB00133	J1.195I
DB00133	J1.196G
DB00133	J1.277G
DB00133	J1.608.276G
DB00133	J1.828.865F
DB00133	J1.941.141I
DB00133	J1.953.506A
DB00133	J2.059.951K
DB00133	J2.145.211D
DB00133	J2.198.752B
DB00133	J2.629.699D
DB00133	J2.640.498C
DB00133	J2.730.439G
DB00133	J3.069.765K
DB00133	J366.495C
DB00133	J482.382F
DB00133	J629.801J
DB00133	J672.423J
DB00133	J760.929I
DB00133	J967.703H
DB00133	J993.089B
DB00134	J1.065.675C
DB00134	J1.065.676A
DB00134	J1.261.366K
DB00134	J1.279.082A
DB00134	J1.286F
DB00134	J1.352.820I
DB00134	J1.380.727B
DB00134	J1.569.657E
DB00134	J1.607.525F
DB00134	J1.649.332E
DB00134	J1.698.282B
DB00134	J2.002.216G
DB00134	J2.150.231F
DB00134	J2.164.861B
DB00134	J3.115.154F
DB00134	J429.862D
DB00134	J9.174J
DB00134	J9.192H
DB00135	J1.050.920C
DB00135	J1.418.395G
DB00135	J1.419.304I
DB00135	J1.419.305G
DB00135	J1.526.782H
DB00135	J1.526.792E
DB00135	J1.615.799F
DB00135	J1.824.130G
DB00135	J2.635.446C
DB00135	J598.196D
DB00135	J651.555J
DB00135	J651.556H
DB00135	J792.451H
DB00135	J9.173A
DB00135	J9.196K
DB00135	J980.729B
DB00135	J980.730F
DB00135	J990.171J
DB00135	J995.092C
DB00136	J1.136.303B
DB00136	J1.148.400J
DB00136	J1.234.534H
DB00136	J1.464.472E
DB00136	J1.502.538G
DB00136	J1.741.827K
DB00136	J1.758.179A
DB00136	J17.427K
DB00136	J285.178D
DB00136	J425.299C
DB00136	J468.306D
DB00136	J522.056D
DB00136	J529.474F
DB00136	J529.475D
DB00136	J529.476B
DB00136	J601.091A
DB00136	J601.092J
DB00136	J69.526B
DB00136	J884.497F
DB00137	J1.084.602A
DB00137	J144.629K
DB00137	J2.040.367E
DB00137	J2.095.687I
DB00137	J2.095.688G
DB00137	J2.095.689E
DB00137	J2.095.690I
DB00137	J2.095.691G
DB00137	J2.095.692E
DB00137	J2.738.079D
DB00137	J261.831A
DB00137	J261.832J
DB00137	J5.394E
DB00137	J522.341E
DB00137	J522.342C
DB00137	J522.343A
DB00137	J522.344J
DB00137	J522.345H
DB00137	J908.192E
DB00138	J1.319F
DB00138	J14.061I
DB00138	J2.198.753K
DB00138	J276.659K
DB00138	J307.281I
DB00138	J9.172C
DB00138	J9.193F
DB00139	J1.728.625K
DB00139	J1.728.626I
DB00139	J1.728.628E
DB00139	J1.819.420A
DB00139	J2.592.569F
DB00139	J2.710.262J
DB00139	J2.879G
DB00139	J215.983J
DB00139	J304.947G
DB00139	J364.618A
DB00140	J1.840.849J
DB00140	J1.840.850C
DB00140	J1.840.851A
DB00140	J1.840.852J
DB00140	J1.920.223B
DB00140	J15.732E
DB00140	J19.228G
DB00140	J3.876H
DB00140	J5.784C
DB00140	J692.868D
DB00140	J89.754J
DB00141	J1.692.458J
DB00141	J149.444I
DB00141	J199.634G
DB00141	J2.198.392F
DB00141	J2.198.393D
DB00141	J640.395F
DB00141	J640.396D
DB00141	J81.413J
DB00141	J83.042I
DB00142	J1.181.513H
DB00142	J1.224.532G
DB00142	J1.404.014E
DB00142	J1.404.015C
DB00142	J1.599.683H
DB00142	J1.599.684F
DB00142	J1.656.740J
DB00142	J1.767.616D
DB00142	J2.025.192A
DB00142	J2.188.287I
DB00142	J2.188.288G
DB00142	J2.696.193I
DB00142	J2.696.194G
DB00142	J2.696.198J
DB00142	J305.175G
DB00142	J366.315I
DB00142	J5.177B
DB00142	J728.850F
DB00142	J9.171E
DB00142	J9.214B
DB00143	J1.025.254G
DB00143	J1.184.160K
DB00143	J10.686K
DB00143	J2.120.521D
DB00143	J3.194.097D
DB00143	J549.412E
DB00143	J716.163H
DB00145	J1.057.380G
DB00145	J1.163K
DB00145	J1.376.013F
DB00145	J1.419.344H
DB00145	J1.427.956C
DB00145	J1.537.522A
DB00145	J1.556.436I
DB00145	J2.049.576F
DB00145	J2.188.275E
DB00145	J262.518K
DB00145	J366.491K
DB00145	J642.370A
DB00145	J712.024I
DB00145	J814.650K
DB00145	J962.223C
DB00146	J1.148.401H
DB00146	J1.496.348K
DB00146	J1.741.824F
DB00146	J1.741.826B
DB00146	J2.090.569G
DB00146	J2.739.486H
DB00146	J319.574K
DB00146	J468.305F
DB00146	J607.237B
DB00146	J9.697K
DB00147	J2.361B
DB00148	J9.321A
DB00149	J1.167C
DB00149	J1.197E
DB00149	J1.279.987J
DB00149	J1.279.988H
DB00149	J1.285H
DB00149	J1.427.957A
DB00149	J1.427.959H
DB00149	J1.431.615I
DB00149	J1.431.616G
DB00149	J1.431.617E
DB00149	J1.599.551C
DB00149	J1.599.552A
DB00149	J1.599.555F
DB00149	J1.656.739F
DB00149	J1.974.170B
DB00149	J2.072.153G
DB00149	J2.523.736F
DB00149	J367.232H
DB00149	J651.561D
DB00149	J651.562B
DB00149	J719.497H
DB00149	J938.213E
DB00149	J938.214C
DB00149	J946.958C
DB00149	J946.959A
DB00150	J1.065.699K
DB00150	J1.065.700H
DB00150	J1.538.921D
DB00150	J1.767.179K
DB00150	J1.891.251A
DB00150	J1.891.252J
DB00150	J1.960.184F
DB00150	J2.122.448K
DB00150	J2.122.450B
DB00150	J2.171.405D
DB00150	J2.198.754I
DB00150	J2.544.416G
DB00150	J2.602.171E
DB00150	J2.653.446A
DB00150	J2.707.824I
DB00150	J314.694D
DB00150	J641.597K
DB00150	J651.557F
DB00150	J651.558D
DB00150	J9.181B
DB00150	J9.185E
DB00151	J1.123.463A
DB00151	J1.261.365B
DB00151	J1.261K
DB00151	J1.360.233F
DB00151	J1.707.933F
DB00151	J1.877.907B
DB00151	J1.877.916A
DB00151	J1.953.505C
DB00151	J2.513.844I
DB00151	J2.622.185D
DB00151	J2.629.700A
DB00151	J274.620D
DB00151	J634.568I
DB00151	J716.162J
DB00151	J9.167G
DB00151	J9.202I
DB00151	J993.090F
DB00152	J209.352I
DB00153	J1.907K
DB00154	J110.768B
DB00154	J486.391G
DB00154	J833.201K
DB00154	J986.594B
DB00155	J138.613A
DB00155	J185.648K
DB00155	J231.768K
DB00155	J3.054.119G
DB00155	J5.711H
DB00156	J1.252A
DB00156	J1.320J
DB00156	J1.327G
DB00156	J1.428.362E
DB00156	J1.428.363C
DB00156	J1.754.265F
DB00156	J2.587.562A
DB00156	J21.883I
DB00156	J9.180D
DB00157	J1.028.187C
DB00157	J1.897.483E
DB00157	J1.897.491F
DB00157	J213.535C
DB00157	J213.546I
DB00157	J421.515J
DB00158	J1.107.430H
DB00158	J1.124.616H
DB00158	J1.124.619B
DB00158	J1.392G
DB00158	J1.784.642F
DB00158	J1.800.739H
DB00158	J2.193.794K
DB00159	J322.535F
DB00159	J343.473G
DB00159	J712.015J
DB00159	J986.596I
DB00160	J1.095.184D
DB00160	J1.163.881C
DB00160	J1.229.699A
DB00160	J1.276I
DB00160	J1.312.821I
DB00160	J1.573.252K
DB00160	J1.589.987E
DB00160	J1.589.988C
DB00160	J1.599.682J
DB00160	J1.684.764J
DB00160	J1.778.817E
DB00160	J1.778.818C
DB00160	J1.802.569H
DB00160	J1.802.570A
DB00160	J1.864.712E
DB00160	J1.953.504E
DB00160	J2.036.197B
DB00160	J2.049.602I
DB00160	J2.049.603G
DB00160	J2.102.334E
DB00160	J2.102.335C
DB00160	J2.188.276C
DB00160	J2.188.277A
DB00160	J2.629.701J
DB00160	J3.013.518K
DB00160	J366.314K
DB00160	J698.280H
DB00160	J768.235B
DB00160	J867.374H
DB00160	J9.168E
DB00160	J9.190A
DB00160	J947.166I
DB00160	J962.224A
DB00161	J1.282C
DB00161	J1.428.356K
DB00161	J1.428.357I
DB00161	J1.428.361G
DB00161	J1.428.364A
DB00161	J1.428.365J
DB00161	J1.780.628I
DB00161	J1.974.169I
DB00161	J1.992.805E
DB00161	J2.011.336G
DB00161	J2.064.893G
DB00161	J2.188.282H
DB00161	J2.188.283F
DB00161	J366.494E
DB00161	J9.179K
DB00161	J9.198G
DB00161	J921.804A
DB00162	J1.321.771H
DB00162	J1.321.774B
DB00162	J1.321.775K
DB00162	J1.417F
DB00162	J490.500H
DB00162	J540.270K
DB00162	J641.040E
DB00162	J641.433H
DB00162	J641.434F
DB00162	J641.435D
DB00162	J641.436B
DB00163	J1.230.120K
DB00163	J1.990.768F
DB00163	J1.990.769D
DB00163	J1.990.770H
DB00163	J2.141.450F
DB00163	J231.847D
DB00163	J24.260H
DB00163	J24.789H
DB00163	J367.420G
DB00163	J476.911B
DB00163	J529.410J
DB00163	J529.411H
DB00163	J529.412F
DB00163	J529.413D
DB00165	J2.356F
DB00165	J3.021.619I
DB00166	J1.695.521C
DB00166	J231.967E
DB00166	J38.321J
DB00166	J9.331I
DB00167	J1.239D
DB00167	J1.240H
DB00167	J1.283A
DB00167	J1.428.358G
DB00167	J1.428.359E
DB00167	J1.428.360I
DB00167	J1.445.951K
DB00167	J1.538.922B
DB00167	J1.648.268D
DB00167	J1.974.168K
DB00167	J2.122.451K
DB00167	J2.122.452I
DB00167	J2.604.213E
DB00167	J2.818E
DB00167	J715.058J
DB00167	J715.059H
DB00167	J715.060A
DB00167	J715.061J
DB00167	J755.255F
DB00167	J755.256D
DB00167	J880.293I
DB00167	J9.187A
DB00168	J11.477D
DB00168	J525.426D
DB00168	J525.427B
DB00168	J525.428K
DB00169	J1.089.289I
DB00169	J1.129.567C
DB00169	J1.352.050J
DB00169	J1.741.823H
DB00169	J1.741.825D
DB00169	J1.758.178C
DB00169	J2.023.112B
DB00169	J2.367A
DB00170	J1.840.881C
DB00170	J2.070.419E
DB00170	J2.070.420I
DB00170	J4.591H
DB00171	J1.049.644F
DB00171	J1.334.885E
DB00171	J1.334.955J
DB00171	J1.902.277C
DB00171	J10.680A
DB00171	J185.550F
DB00171	J185.551D
DB00171	J185.552B
DB00171	J2.006.398J
DB00171	J252.496A
DB00171	J30.167A
DB00171	J370.429G
DB00171	J370.430K
DB00171	J413.564D
DB00171	J519.120C
DB00171	J53.503F
DB00171	J640.454E
DB00171	J640.710B
DB00171	J745.525I
DB00171	J846.211I
DB00171	J846.212G
DB00171	J985.370G
DB00172	J1.004.903B
DB00172	J1.004.906G
DB00172	J1.098.967A
DB00172	J1.098.969H
DB00172	J1.154.004J
DB00172	J1.248.482H
DB00172	J1.287D
DB00172	J1.617.732F
DB00172	J1.698.243A
DB00172	J1.925.309K
DB00172	J2.188.279H
DB00172	J2.188.280A
DB00172	J2.546.905D
DB00172	J366.927K
DB00172	J882.750H
DB00172	J882.751F
DB00172	J9.117K
DB00172	J9.118I
DB00173	J1.069.337C
DB00173	J1.099.500K
DB00173	J1.194.866I
DB00173	J1.194.871E
DB00173	J1.601.563F
DB00173	J1.601.564D
DB00173	J1.601.565B
DB00173	J1.652.599E
DB00173	J1.652.600B
DB00173	J1.652.601K
DB00173	J1.783.898I
DB00173	J1.892.467F
DB00173	J1.892.468D
DB00173	J3.064.110H
DB00173	J361.563D
DB00173	J5.257D
DB00174	J1.289K
DB00174	J1.537.523J
DB00174	J640.842G
DB00174	J640.843E
DB00174	J9.178B
DB00174	J9.207J
DB00175	J139.432K
DB00175	J227.579A
DB00175	J243.084C
DB00175	J448.313H
DB00176	J1.245.131H
DB00176	J11.936I
DB00176	J453.182E
DB00177	J550.722G
DB00177	J788.652G
DB00178	J1.380.335H
DB00178	J1.380.336F
DB00178	J1.380.337D
DB00178	J1.380.338B
DB00178	J22.246A
DB00179	J1.561.206A
DB00179	J257.424A
DB00179	J9.195B
DB00180	J3.402I
DB00181	J3.661G
DB00181	J347.042C
DB00181	J374.504J
DB00182	J171.201B
DB00182	J171.202K
DB00182	J2.157.154G
DB00182	J2.157.155E
DB00182	J28.384C
DB00182	J4.121A
DB00182	J74.925G
DB00182	J9.368H
DB00184	J1.016.152E
DB00184	J1.099.706B
DB00184	J1.808.087G
DB00184	J1.972.794G
DB00184	J2.509.681I
DB00184	J23.948H
DB00184	J358.868H
DB00184	J9.266E
DB00185	J221.667A
DB00185	J221.668J
DB00185	J375.901F
DB00185	J375.902D
DB00185	J621.334K
DB00186	J3.337E
DB00186	J434.769B
DB00186	J434.770F
DB00187	J1.652.992C
DB00187	J1.652.993A
DB00187	J32.840E
DB00188	J1.066.189G
DB00188	J1.361.671J
DB00188	J1.921.292K
DB00189	J5.130F
DB00190	J135.235K
DB00190	J135.236I
DB00190	J135.237G
DB00190	J17.160C
DB00190	J2.205.974B
DB00190	J27.602B
DB00190	J298.851H
DB00190	J298.852F
DB00190	J43.587B
DB00190	J643.936E
DB00190	J643.937C
DB00190	J95.184F
DB00191	J5.348A
DB00192	J32.491D
DB00193	J238.351I
DB00193	J28.136K
DB00193	J354.350A
DB00193	J354.351J
DB00193	J48.558F
DB00194	J1.039.895I
DB00194	J1.069.334I
DB00194	J1.084.705B
DB00194	J1.160.969D
DB00194	J1.169.531K
DB00194	J1.235.915B
DB00194	J1.235.916K
DB00194	J1.622.272K
DB00194	J1.622.273I
DB00194	J1.634.141J
DB00194	J1.976.492C
DB00194	J112.390D
DB00194	J2.019.171F
DB00194	J2.157.963G
DB00194	J263.919J
DB00194	J3.132.513G
DB00194	J3.415K
DB00194	J352.461B
DB00194	J36.204B
DB00194	J361.559F
DB00194	J4.501B
DB00194	J602.639G
DB00194	J645.198E
DB00194	J79.901G
DB00194	J853.839E
DB00194	J953.152A
DB00194	J953.153J
DB00194	J965.911K
DB00194	J965.913G
DB00195	J19.271F
DB00195	J387.170C
DB00195	J491.311F
DB00196	J23.677B
DB00197	J404.601C
DB00197	J404.602A
DB00197	J549.469I
DB00197	J549.470B
DB00197	J844.603B
DB00197	J844.604K
DB00197	J996.467C
DB00198	J2.586.367D
DB00198	J871.765F
DB00199	J1.371.264F
DB00199	J2.026.121H
DB00199	J2.892D
DB00199	J549.745K
DB00200	J135.235K
DB00200	J135.236I
DB00200	J135.237G
DB00200	J298.851H
DB00200	J298.852F
DB00200	J43.587B
DB00200	J643.936E
DB00200	J643.937C
DB00200	J95.184F
DB00201	J1.555.636F
DB00201	J2.073.412D
DB00201	J2.330B
DB00201	J580.359D
DB00202	J11.690D
DB00203	J897.167F
DB00204	J291.759I
DB00205	J4.589F
DB00206	J1.233.096K
DB00206	J1.233.097I
DB00206	J1.359E
DB00206	J125.604A
DB00206	J2.572.424K
DB00206	J23.906B
DB00206	J3.179.076J
DB00207	J134.080H
DB00207	J908.852K
DB00208	J11.390E
DB00209	J2.058.130A
DB00209	J247.002K
DB00210	J399.566F
DB00211	J16.460G
DB00212	J419.436E
DB00212	J523.480H
DB00213	J324.079G
DB00214	J11.135J
DB00215	J18.081E
DB00215	J819.065H
DB00215	J819.066F
DB00216	J979.643F
DB00217	J4.563B
DB00218	J1.495.215B
DB00219	J1.896.645J
DB00219	J14.039B
DB00219	J2.207.941G
DB00220	J1.285.966J
DB00220	J1.642.472B
DB00220	J709.859F
DB00221	J338.745C
DB00221	J338.746A
DB00221	J6.696F
DB00222	J3.204.182E
DB00222	J35.096F
DB00223	J268.354G
DB00223	J7.332F
DB00223	J7.614G
DB00224	J1.188.993J
DB00224	J2.138.063F
DB00224	J566.361J
DB00224	J814.344G
DB00225	J135.235K
DB00225	J135.236I
DB00225	J135.237G
DB00225	J2.174.494H
DB00225	J298.851H
DB00225	J298.852F
DB00225	J374.426D
DB00225	J43.587B
DB00225	J615.848J
DB00225	J643.936E
DB00225	J643.937C
DB00225	J95.184F
DB00226	J16.514J
DB00227	J22.276C
DB00227	J673.769B
DB00227	J895.432A
DB00228	J3.127E
DB00228	J712.929G
DB00228	J712.930K
DB00229	J18.083A
DB00229	J26.418K
DB00230	J258.872B
DB00230	J702.547E
DB00230	J866.310F
DB00231	J513.261D
DB00231	J513.262B
DB00231	J7.138B
DB00232	J5.603K
DB00233	J1.070.539H
DB00233	J1.964.574F
DB00233	J4.838K
DB00233	J444.182F
DB00233	J5.581F
DB00233	J5.583B
DB00233	J532.081J
DB00233	J811G
DB00234	J569.655K
DB00234	J569.656I
DB00234	J570.349B
DB00234	J570.350F
DB00235	J23.655A
DB00236	J4.157B
DB00237	J5.371F
DB00237	J9.745D
DB00238	J420.601K
DB00239	J19.579K
DB00240	J18.598A
DB00241	J4.555A
DB00242	J1.185.455I
DB00242	J1.185.458C
DB00242	J446.344G
DB00242	J585.326E
DB00243	J3.066.456F
DB00243	J505.258K
DB00243	J505.259I
DB00244	J1.070.541J
DB00244	J26.977H
DB00244	J26.979D
DB00244	J32.511B
DB00244	J936.102B
DB00245	J23.933J
DB00245	J232.148C
DB00245	J4.933F
DB00246	J553.147K
DB00247	J2.160.817C
DB00247	J76.430B
DB00247	J9.230D
DB00248	J134.029H
DB00249	J2.198.550C
DB00249	J4.490C
DB00249	J421.063H
DB00249	J670.135C
DB00250	J1.853.894F
DB00250	J2.127.096B
DB00250	J2.127.098I
DB00250	J4.247A
DB00251	J283.070A
DB00251	J283.071J
DB00252	J1.000.967G
