drugbank_id	emolecules_id
DB00014	30512904
DB00014	32279210
DB00035	26985577
DB00035	27518864
DB00035	30152507
DB00035	30512865
DB00035	31225500
DB00035	31634744
DB00035	36500763
DB00050	31430490
DB00050	32279200
DB00091	10223599
DB00091	29534828
DB00091	30152013
DB00091	30152476
DB00091	30498944
DB00091	30513081
DB00091	31240365
DB00091	35833724
DB00091	36516947
DB00091	36788813
DB00091	496010
DB00091	742499
DB00093	30512779
DB00104	27523048
DB00104	29540888
DB00104	30512806
DB00104	6843567
DB00104	789819
DB00114	1988700
DB00114	31593258
DB00114	531244
DB00115	31240497
DB00116	10809366
DB00116	1989182
DB00116	36759454
DB00116	36759455
DB00116	485232
DB00117	26757162
DB00117	27520527
DB00117	518145
DB00117	518149
DB00117	518165
DB00117	712832
DB00117	883971
DB00118	10452114
DB00118	14089877
DB00118	26749866
DB00118	26754953
DB00118	27677501
DB00118	36091966
DB00118	36756833
DB00118	36756835
DB00118	474985
DB00119	26756642
DB00119	478132
DB00120	26753608
DB00120	26757996
DB00120	29491160
DB00120	29491161
DB00120	29536614
DB00120	29537098
DB00120	29537106
DB00120	29537253
DB00120	482306
DB00120	514492
DB00120	530657
DB00121	1970569
DB00121	27677677
DB00121	30554341
DB00121	36366279
DB00121	36752023
DB00121	36788777
DB00121	481810
DB00121	884410
DB00121	984048
DB00122	1012302
DB00123	524854
DB00123	524855
DB00123	524856
DB00125	10311512
DB00125	478552
DB00125	478564
DB00125	478568
DB00126	26405050
DB00126	29534153
DB00126	29541630
DB00126	29935489
DB00126	492402
DB00126	523451
DB00126	731007
DB00127	10433855
DB00127	1938668
DB00127	494699
DB00127	531533
DB00127	6187094
DB00128	26754220
DB00128	26754975
DB00128	26756539
DB00128	29535733
DB00128	29535780
DB00128	29535821
DB00128	29535924
DB00128	29537196
DB00128	29537254
DB00128	478712
DB00128	478733
DB00128	478747
DB00129	31239565
DB00129	592955
DB00129	884260
DB00130	26752493
DB00130	26753763
DB00130	26756688
DB00130	26757062
DB00130	26757167
DB00130	27678119
DB00130	29535750
DB00130	29541096
DB00130	514487
DB00130	514808
DB00131	29541446
DB00131	29542487
DB00131	6816633
DB00131	711281
DB00131	713769
DB00131	730489
DB00132	36758683
DB00132	524832
DB00132	561341
DB00133	26756397
DB00133	26757819
DB00133	26757873
DB00133	26757998
DB00133	29537238
DB00133	514205
DB00133	514387
DB00133	531444
DB00134	26755755
DB00134	26755898
DB00134	29491158
DB00134	29537237
DB00134	29537279
DB00134	36758764
DB00134	495925
DB00134	514491
DB00134	526391
DB00135	26754072
DB00135	26754331
DB00135	26757083
DB00135	29491139
DB00135	29535745
DB00135	29538622
DB00135	29549112
DB00135	482111
DB00135	514474
DB00135	531518
DB00136	26987854
DB00136	27517665
DB00136	27677920
DB00136	29541527
DB00136	30152086
DB00136	30154490
DB00136	30154563
DB00136	30512692
DB00136	36745650
DB00136	36757265
DB00136	36757267
DB00136	36757268
DB00136	36789101
DB00136	485907
DB00136	8294511
DB00137	10186103
DB00137	18594343
DB00137	26750566
DB00137	28295506
DB00137	29542585
DB00137	31228721
DB00138	25690675
DB00138	26752582
DB00138	27677839
DB00138	27677840
DB00138	36366191
DB00138	36366193
DB00138	36378172
DB00138	36757527
DB00138	36857398
DB00138	494730
DB00138	496151
DB00138	496171
DB00138	8293806
DB00138	8293808
DB00139	29536194
DB00139	29536196
DB00139	29536584
DB00139	481572
DB00140	26756557
DB00140	27678625
DB00140	31227883
DB00140	31240487
DB00140	594077
DB00140	711592
DB00140	884123
DB00141	27345144
DB00141	31264524
DB00141	36788771
DB00141	36788870
DB00141	7587350
DB00141	8294254
DB00141	902159
DB00142	26753314
DB00142	26753635
DB00142	26755734
DB00142	26757785
DB00142	28218191
DB00142	29491177
DB00142	477277
DB00142	498263
DB00142	514405
DB00143	26756622
DB00143	26988180
DB00143	515159
DB00143	747254
DB00145	27515040
DB00145	29486704
DB00145	29487368
DB00145	29536562
DB00145	29536626
DB00145	29536707
DB00145	29537283
DB00145	483675
DB00145	485476
DB00146	26757829
DB00146	27678203
DB00146	29935587
DB00146	30152230
DB00146	30154404
DB00146	31240774
DB00146	485911
DB00147	1012333
DB00147	23049375
DB00147	30154453
DB00147	493579
DB00148	494174
DB00149	25690830
DB00149	26755895
DB00149	26756750
DB00149	29491130
DB00149	499483
DB00149	514488
DB00149	514646
DB00150	26754365
DB00150	26755894
DB00150	27524628
DB00150	36759615
DB00150	36759616
DB00150	484485
DB00150	533030
DB00150	533034
DB00151	26756231
DB00151	26756923
DB00151	36757526
DB00151	484930
DB00151	496036
DB00151	505558
DB00152	1180877
DB00153	1971432
DB00153	25692850
DB00153	27677728
DB00153	28205795
DB00153	29541226
DB00153	29550318
DB00153	30152066
DB00153	30512871
DB00153	36787959
DB00153	8293829
DB00154	1986493
DB00154	509170
DB00155	1954524
DB00155	26751900
DB00155	28294744
DB00155	493823
DB00155	884088
DB00156	26755583
DB00156	26756591
DB00156	26756924
DB00156	476211
DB00156	476213
DB00156	532410
DB00156	532412
DB00156	594831
DB00157	16647050
DB00157	26749950
DB00157	26750946
DB00157	36366750
DB00157	36788793
DB00157	592709
DB00157	6883931
DB00157	714059
DB00158	1986886
DB00158	27678078
DB00158	29563448
DB00158	31230473
DB00158	36753205
DB00158	36758208
DB00158	36758209
DB00158	474902
DB00158	5748014
DB00158	884420
DB00158	984032
DB00159	1986690
DB00159	23121918
DB00159	27344987
DB00159	27677967
DB00159	509162
DB00160	25690699
DB00160	26752921
DB00160	26752963
DB00160	26757064
DB00160	29491134
DB00160	29491136
DB00160	29535940
DB00160	29535973
DB00160	29536015
DB00160	29536691
DB00160	29537333
DB00160	476060
DB00160	476062
DB00160	476064
DB00160	6875727
DB00161	26753416
DB00161	26756180
DB00161	29535819
DB00161	29537107
DB00161	514157
DB00161	514495
DB00161	531535
