drugbank_id	pubchem_dotf_id
DB00502	12013409
DB00503	12014859
DB00507	99431538
DB00509	123055316
DB00509	123055440
DB00512	12013968
DB00518	12014008
DB00519	12013675
DB00519	22395488
DB00521	12013437
DB00523	12013352
DB00523	12014646
DB00523	12014910
DB00528	12013279
DB00529	12012803
DB00530	12015117
DB00531	99431522
DB00533	12014954
DB00535	12013492
DB00539	12013627
DB00540	24714728
DB00541	12014418
DB00542	12013042
DB00543	12013426
DB00546	12013114
DB00548	12013195
DB00549	12014035
DB00551	22395295
DB00552	12013121
DB00554	12013846
DB00555	12013463
DB00558	12014758
DB00559	12014838
DB00560	12014912
DB00563	22395177
DB00564	57304372
DB00565	12013269
DB00565	12014680
DB00569	12014866
DB00570	12012588
DB00571	57304368
DB00574	12013267
DB00577	12014356
DB00579	99431540
DB00580	12015079
DB00582	12014673
DB00584	12014060
DB00585	12012865
DB00588	12014563
DB00590	12013164
DB00593	57304373
DB00596	12014568
DB00597	12014621
DB00598	12013100
DB00598	12013434
DB00601	12014976
DB00604	12012817
DB00609	92309393
DB00611	12013400
DB00612	12012929
DB00615	12012943
DB00619	12015012
DB00622	12013373
DB00623	12013416
DB00624	12012605
DB00625	12014858
DB00627	87550957
DB00629	12013379
DB00630	22395185
DB00631	12014412
DB00632	12014691
DB00633	12013628
DB00633	12014284
DB00635	125299297
DB00636	22395216
DB00637	12013338
DB00639	12013025
DB00640	81044335
DB00641	12013879
DB00642	12014612
DB00649	12014136
DB00654	12014690
DB00655	49684201
DB00657	24714742
DB00665	12013485
DB00666	12012978
DB00669	12014283
DB00671	12012851
DB00673	12015114
DB00674	12014857
DB00675	56310590
DB00679	12013415
DB00680	12013441
DB00681	12012606
DB00682	22395179
DB00683	12013363
DB00685	12014748
DB00688	12014254
DB00691	12012681
DB00692	12013424
DB00694	125299287
DB00695	12014152
DB00697	12013366
DB00700	12015198
DB00701	12014852
DB00704	12013717
DB00705	12014789
DB00706	12012682
DB00706	12013389
DB00708	12013739
DB00709	12014700
DB00710	12014723
DB00712	12014074
DB00712	12015300
DB00715	12013591
DB00716	12012831
DB00718	12014790
DB00720	12013062
DB00722	12013163
DB00724	12013659
DB00727	22395178
DB00728	12014449
DB00731	12013966
DB00732	12013269
DB00732	12014680
DB00734	12013967
DB00735	12013754
DB00736	12013167
DB00740	12013649
DB00741	12013447
DB00742	125299321
DB00743	12014647
DB00744	12014274
DB00745	12014011
DB00745	12014108
DB00746	12014086
DB00749	12012673
DB00751	12014188
DB00755	12013352
DB00755	12014646
DB00755	12014910
DB00757	12014390
DB00758	12014240
DB00760	12014124
DB00762	12013536
DB00768	12014217
DB00770	12013405
DB00773	12013288
DB00775	12014699
DB00776	12013820
DB00778	12012902
DB00783	12012600
DB00783	56310604
DB00787	12013356
DB00789	12014019
DB00790	12013509
DB00795	12012604
DB00798	85197654
DB00799	12014289
DB00800	12013011
DB00801	12013412
DB00802	12013336
DB00805	12013368
DB00806	81044341
DB00811	99431523
DB00814	12013466
DB00817	12015534
DB00818	12012653
DB00819	57304369
