drugbank_id	hmdb_id
DB00323	HMDB14468
DB00324	HMDB14469
DB00325	HMDB14470
DB00326	HMDB00464
DB00326	HMDB14471
DB00327	HMDB14472
DB00328	HMDB14473
DB00330	HMDB14474
DB00331	HMDB01921
DB00332	HMDB02500
DB00332	HMDB14476
DB00333	HMDB14477
DB00334	HMDB05012
DB00335	HMDB01924
DB00336	HMDB14480
DB00337	HMDB14481
DB00338	HMDB01913
DB00338	HMDB05009
DB00338	HMDB14874
DB00339	HMDB14483
DB00340	HMDB14484
DB00341	HMDB05032
DB00342	HMDB14486
DB00343	HMDB14487
DB00344	HMDB14488
DB00345	HMDB01867
DB00346	HMDB14490
DB00347	HMDB14491
DB00348	HMDB14492
DB00349	HMDB14493
DB00350	HMDB14494
DB00352	HMDB14496
DB00353	HMDB14497
DB00354	HMDB14498
DB00355	HMDB14499
DB00356	HMDB14500
DB00357	HMDB14501
DB00358	HMDB14502
DB00359	HMDB14503
DB00360	HMDB00027
DB00360	HMDB00787
DB00360	HMDB59658
DB00361	HMDB14505
DB00362	HMDB14506
DB00363	HMDB14507
DB00364	HMDB01039
DB00364	HMDB01247
DB00364	HMDB02111
DB00364	HMDB14508
DB00365	HMDB14509
DB00366	HMDB01936
DB00367	HMDB14511
DB00368	HMDB00216
DB00368	HMDB37685
DB00369	HMDB14513
DB00370	HMDB14514
DB00371	HMDB14515
DB00372	HMDB14516
DB00373	HMDB14517
DB00374	HMDB14518
DB00375	HMDB14519
DB00375	HMDB32465
DB00375	HMDB34232
DB00376	HMDB14520
DB00377	HMDB14521
DB00378	HMDB14522
DB00379	HMDB14523
DB00380	HMDB14524
DB00381	HMDB05018
DB00382	HMDB14526
DB00383	HMDB14527
DB00384	HMDB01940
DB00385	HMDB14529
DB00387	HMDB14531
DB00388	HMDB02182
DB00389	HMDB14533
DB00390	HMDB01917
DB00391	HMDB14535
DB00392	HMDB14536
DB00393	HMDB14537
DB00394	HMDB14538
DB00395	HMDB14539
DB00396	HMDB01830
DB00397	HMDB01942
DB00398	HMDB14542
DB00399	HMDB14543
DB00400	HMDB14544
DB00401	HMDB14545
DB00402	HMDB14546
DB00402	HMDB15329
DB00403	HMDB14547
DB00404	HMDB14548
DB00405	HMDB01941
DB00405	HMDB14549
DB00406	HMDB14550
DB00407	HMDB14551
DB00407	HMDB15356
DB00408	HMDB14552
DB00409	HMDB14553
DB00410	HMDB14554
DB00411	HMDB00492
DB00411	HMDB02306
DB00411	HMDB14555
DB00412	HMDB05031
DB00413	HMDB14557
DB00414	HMDB14558
DB00415	HMDB14559
DB00416	HMDB12238
DB00416	HMDB14560
DB00416	HMDB15429
DB00416	HMDB59634
DB00417	HMDB14561
DB00418	HMDB14562
DB00419	HMDB14563
DB00420	HMDB14564
DB00421	HMDB14565
DB00422	HMDB14566
DB00422	HMDB15647
DB00423	HMDB14567
DB00424	HMDB14568
DB00424	HMDB14712
DB00425	HMDB05023
DB00426	HMDB14570
DB00427	HMDB14571
DB00428	HMDB14572
DB00429	HMDB14573
DB00430	HMDB14574
DB00431	HMDB14575
DB00431	HMDB59785
DB00432	HMDB14576
DB00433	HMDB14577
DB00434	HMDB14578
DB00435	HMDB03378
DB00436	HMDB14580
DB00437	HMDB14581
DB00438	HMDB14582
DB00440	HMDB14583
DB00441	HMDB14584
DB00442	HMDB14585
DB00443	HMDB14586
DB00443	HMDB15364
DB00444	HMDB14587
DB00445	HMDB14588
DB00445	HMDB15132
DB00446	HMDB14589
DB00447	HMDB14590
DB00448	HMDB05008
DB00449	HMDB14592
DB00450	HMDB14593
DB00451	HMDB00248
DB00451	HMDB14651
DB00451	HMDB15523
DB00452	HMDB15129
DB00453	HMDB14596
DB00454	HMDB14597
DB00455	HMDB05000
DB00456	HMDB14599
DB00457	HMDB14600
DB00458	HMDB01848
DB00459	HMDB03039
DB00459	HMDB14602
DB00460	HMDB14603
DB00461	HMDB14604
DB00462	HMDB02500
DB00462	HMDB14605
DB00463	HMDB14606
DB00464	HMDB14607
DB00465	HMDB14608
DB00466	HMDB14609
DB00467	HMDB14610
DB00468	HMDB14611
DB00468	HMDB15044
DB00469	HMDB14612
DB00470	HMDB14613
DB00470	HMDB41865
DB00471	HMDB14614
DB00472	HMDB14615
DB00473	HMDB14616
DB00474	HMDB14617
DB00475	HMDB14618
DB00476	HMDB14619
DB00477	HMDB14620
DB00478	HMDB14621
DB00479	HMDB14622
DB00480	HMDB14623
DB00481	HMDB14624
DB00482	HMDB05014
DB00483	HMDB12238
DB00483	HMDB14626
DB00483	HMDB59634
DB00484	HMDB14627
DB00485	HMDB14628
DB00486	HMDB14629
DB00487	HMDB14630
DB00488	HMDB14631
DB00489	HMDB14632
DB00490	HMDB14633
DB00491	HMDB14634
DB00492	HMDB14635
DB00493	HMDB14636
DB00494	HMDB12226
DB00495	HMDB14638
DB00496	HMDB14639
DB00497	HMDB14640
DB00498	HMDB14641
DB00499	HMDB14642
DB00500	HMDB14643
DB00501	HMDB14644
DB00502	HMDB14645
DB00503	HMDB14646
DB00504	HMDB14647
DB00505	HMDB14648
DB00507	HMDB14649
DB00508	HMDB14650
DB00509	HMDB00248
DB00509	HMDB14651
DB00509	HMDB15523
DB00511	HMDB14652
DB00512	HMDB14653
DB00513	HMDB01901
DB00514	HMDB01920
DB00515	HMDB00492
DB00515	HMDB02306
DB00515	HMDB14656
DB00516	HMDB01039
DB00516	HMDB02111
DB00516	HMDB14657
DB00516	HMDB15456
DB00516	HMDB35659
DB00517	HMDB02500
DB00517	HMDB14658
DB00518	HMDB14659
DB00519	HMDB14660
DB00520	HMDB14661
DB00521	HMDB14662
DB00522	HMDB14663
DB00523	HMDB01852
DB00523	HMDB02369
DB00523	HMDB06219
