drugbank_id	zinc_id
DB00175	ZINC03798763
DB00175	ZINC03831355
DB00175	ZINC03831356
DB00175	ZINC03831357
DB00175	ZINC03831358
DB00175	ZINC05651378
DB00175	ZINC05651381
DB00175	ZINC12496501
DB00175	ZINC13400486
DB00175	ZINC15449307
DB00175	ZINC15449309
DB00175	ZINC19045976
DB00175	ZINC26185904
DB00175	ZINC26672491
DB00175	ZINC27646890
DB00175	ZINC27646898
DB00175	ZINC36436646
DB00175	ZINC43772728
DB00175	ZINC43772730
DB00176	ZINC03872605
DB00176	ZINC12466082
DB00178	ZINC03798757
DB00178	ZINC04245622
DB00178	ZINC12860069
DB00178	ZINC33359806
DB00178	ZINC38342089
DB00179	ZINC00012342
DB00179	ZINC00056472
DB00179	ZINC00056474
DB00180	ZINC03977837
DB00180	ZINC03977838
DB00180	ZINC03977839
DB00180	ZINC03977840
DB00180	ZINC04097305
DB00180	ZINC04097306
DB00180	ZINC13298632
DB00180	ZINC13298634
DB00180	ZINC13298636
DB00180	ZINC13298639
DB00181	ZINC00000061
DB00181	ZINC00085733
DB00182	ZINC06021033
DB00182	ZINC06036847
DB00184	ZINC00001798
DB00184	ZINC00391812
DB00185	ZINC00008699
DB00185	ZINC00010163
DB00185	ZINC00010164
DB00185	ZINC03792909
DB00186	ZINC00000431
DB00186	ZINC00896595
DB00187	ZINC00000257
DB00187	ZINC00896523
DB00190	ZINC19168887
DB00190	ZINC19168901
DB00191	ZINC08403947
DB00193	ZINC00000853
DB00193	ZINC00002200
DB00193	ZINC01849532
DB00193	ZINC02015652
DB00194	ZINC00895113
DB00194	ZINC00896706
DB00194	ZINC00970363
DB00194	ZINC02047403
DB00194	ZINC02047673
DB00194	ZINC02169830
DB00194	ZINC02572650
DB00194	ZINC03201876
DB00194	ZINC03201878
DB00194	ZINC03830178
DB00194	ZINC03830179
DB00194	ZINC03978047
DB00194	ZINC03978048
DB00194	ZINC03978049
DB00194	ZINC04048240
DB00194	ZINC08580514
DB00195	ZINC01530567
DB00195	ZINC01530568
DB00196	ZINC00004009
DB00197	ZINC00968276
DB00197	ZINC00968277
DB00197	ZINC00968278
DB00197	ZINC00968279
DB00198	ZINC03874568
DB00198	ZINC03874569
DB00198	ZINC03874570
DB00198	ZINC03874571
DB00198	ZINC03929508
DB00198	ZINC11592802
DB00198	ZINC65748307
DB00201	ZINC00001084
DB00202	ZINC01530820
DB00203	ZINC19796168
DB00204	ZINC00596731
DB00205	ZINC00057464
DB00206	ZINC03938746
DB00206	ZINC03977915
DB00206	ZINC03978051
DB00206	ZINC05226647
DB00206	ZINC05226650
DB00208	ZINC00002165
DB00208	ZINC19594599
DB00209	ZINC12503068
DB00210	ZINC03784182
DB00211	ZINC00000507
DB00211	ZINC00403079
DB00213	ZINC04099200
DB00213	ZINC04676424
DB00214	ZINC00005823
DB00215	ZINC03794601
DB00215	ZINC03800706
DB00216	ZINC00607845
DB00216	ZINC03823475
DB00218	ZINC03826253
DB00218	ZINC03873790
DB00218	ZINC27213606
DB00219	ZINC01812122
DB00219	ZINC01812123
DB00221	ZINC00000401
DB00221	ZINC00402979
DB00221	ZINC00402980
DB00221	ZINC00402981
DB00222	ZINC00537791
DB00223	ZINC03983935
DB00223	ZINC03983936
DB00223	ZINC03983937
DB00223	ZINC03983938
DB00223	ZINC04655120
DB00223	ZINC04655121
DB00223	ZINC04655122
DB00223	ZINC04655123
DB00223	ZINC05752191
DB00223	ZINC16991644
DB00223	ZINC33988377
DB00223	ZINC33988378
DB00223	ZINC33988379
DB00223	ZINC33988380
DB00223	ZINC44963356
DB00223	ZINC66331828
DB00225	ZINC21297783
DB00226	ZINC01530647
DB00226	ZINC04097338
DB00226	ZINC12503070
DB00226	ZINC12503073
DB00227	ZINC03812841
DB00227	ZINC03831008
DB00227	ZINC03831009
DB00227	ZINC03831010
DB00227	ZINC03831011
DB00227	ZINC04245664
DB00227	ZINC08681777
DB00227	ZINC08681778
DB00227	ZINC08681779
DB00227	ZINC08773253
DB00227	ZINC14984346
DB00227	ZINC27523306
DB00227	ZINC27646879
DB00227	ZINC27646885
DB00227	ZINC27899841
DB00227	ZINC27899846
