drugbank_id	pubchem_id
DB00014	11980055
DB00014	11981235
DB00014	11982741
DB00014	16052011
DB00014	23581804
DB00014	23581805
DB00014	47725
DB00014	5311128
DB00014	53315112
DB00014	57301247
DB00014	58984301
DB00014	59793478
DB00014	71773422
DB00014	73161250
DB00014	73162142
DB00014	86614451
DB00014	86614452
DB00014	87059129
DB00014	87140386
DB00014	87148335
DB00014	87189552
DB00014	87243023
DB00014	87304216
DB00014	87485035
DB00014	87512015
DB00014	87618430
DB00014	87720160
DB00014	87770925
DB00014	87814579
DB00014	87851506
DB00014	87864038
DB00014	87928434
DB00014	87984588
DB00014	88015119
DB00014	88015346
DB00014	88015374
DB00014	88015410
DB00014	88053779
DB00014	88091616
DB00014	88161850
DB00014	88195562
DB00014	88212528
DB00014	88212616
DB00014	88223146
DB00014	88305616
DB00014	88372635
DB00014	88540622
DB00014	89141413
DB00014	89588466
DB00014	89700436
DB00014	89768643
DB00014	90028272
DB00014	90474525
DB00014	90488862
DB00014	90659726
DB00035	16051933
DB00035	16051969
DB00035	167569
DB00035	22316342
DB00035	23624064
DB00035	27991
DB00035	44316234
DB00035	46781204
DB00035	46783812
DB00035	5311065
DB00035	57201485
DB00035	58665765
DB00035	59118602
DB00035	64758
DB00035	64759
DB00035	73921397
DB00035	74538699
DB00035	76962180
DB00035	76973434
DB00035	76974002
DB00035	87057119
DB00035	87070651
DB00035	87135511
DB00035	87379078
DB00035	87441679
DB00035	87483872
DB00035	87706204
DB00035	87854472
DB00035	87879298
DB00035	87915910
DB00035	87927821
DB00035	87964864
DB00035	88090559
DB00035	88174640
DB00035	88174668
DB00035	88339014
DB00035	88369200
DB00035	88504102
DB00035	88558399
DB00035	90327032
DB00035	90466780
DB00035	9812234
DB00035	9833407
DB00050	25074886
DB00050	25074887
DB00050	25074995
DB00050	25074996
DB00050	25077594
DB00050	25077991
DB00050	25078244
DB00050	25078245
DB00050	25078429
DB00050	25079131
DB00050	25080879
DB00050	25084012
DB00050	25084013
DB00050	25084128
DB00050	25172279
DB00050	42611147
