drugbank_id	actor_id
DB00167	319-78-8
DB00167	34464-35-2
DB00167	410078-51-2
DB00167	443-79-8
DB00167	73-32-5
DB00168	106372-55-8
DB00168	172964-81-7
DB00168	22839-47-0
DB00168	5910-52-1
DB00169	1406-16-2
DB00169	2138-18-3
DB00169	3965-99-9
DB00169	57651-82-8
DB00169	58542-37-3
DB00169	67-97-0
DB00170	34524-96-4
DB00170	58-27-5
DB00170	72060-21-0
DB00171	10168-83-9
DB00171	107870-98-4
DB00171	117405-91-1
DB00171	117405-93-3
DB00171	12705-56-5
DB00171	134981-39-8
DB00171	15237-44-2
DB00171	29622-22-8
DB00171	2964-07-0
DB00171	3714-60-1
DB00171	42373-41-1
DB00171	4468-22-8
DB00171	51963-61-2
DB00171	56-65-5
DB00171	56560-86-2
DB00171	56842-80-9
DB00171	63346-83-8
DB00171	63915-26-4
DB00171	653-60-1
DB00171	75170-18-2
DB00171	89457-62-5
DB00171	987-65-5
DB00171	99125-17-4
DB00172	147-85-3
DB00172	18875-45-1
DB00172	25191-13-3
DB00172	344-25-2
DB00172	37159-97-0
DB00172	609-36-9
DB00173	22051-90-7
DB00173	5019-49-8
DB00173	7224-92-2
DB00174	2058-58-4
DB00174	3130-87-8
DB00174	32640-57-6
DB00174	70-47-3
DB00174	7006-34-0
DB00175	115873-26-2
DB00175	81093-37-0
DB00175	81131-70-6
DB00176	54739-18-3
DB00176	54739-20-7
DB00176	61718-82-9
DB00177	137862-53-4
DB00177	186615-83-8
DB00177	254972-16-2
DB00178	126613-39-6
DB00178	87333-19-5
DB00179	1413-68-9
DB00179	27686-84-6
DB00179	500-38-9
DB00180	3385-03-3
DB00180	77326-96-6
DB00181	1134-47-0
DB00181	62594-36-9
DB00181	63701-55-3
DB00181	63701-56-4
DB00181	66514-99-6
DB00181	69308-37-8
DB00181	70206-22-3
DB00182	156-34-3
DB00182	17108-96-2
DB00182	300-62-9
DB00182	51-64-9
DB00182	60-15-1
DB00182	73758-24-4
DB00182	73758-25-5
DB00182	73758-26-6
DB00183	15686-70-1
DB00184	13890-81-8
DB00184	1596-94-7
DB00184	22083-74-5
DB00184	25162-00-9
DB00184	54-11-5
DB00184	80604-52-0
DB00184	94292-33-8
DB00185	107220-28-0
DB00185	107220-29-1
DB00185	107233-08-9
DB00185	124620-89-9
DB00185	153504-70-2
DB00186	119177-41-2
DB00186	846-49-1
DB00187	103598-03-4
DB00187	81147-92-4
DB00187	81161-17-3
DB00187	85614-76-2
DB00188	179324-69-7
DB00189	113-18-8
DB00189	77257-37-5
DB00189	95853-67-1
DB00190	13587-54-7
DB00190	13670-17-2
DB00190	13968-08-6
DB00190	13968-48-4
DB00190	13982-43-9
DB00190	14280-30-9
DB00190	14314-42-2
DB00190	14337-01-0
DB00190	14585-65-0
DB00190	14797-71-8
DB00190	14940-63-7
DB00190	14940-65-9
DB00190	156428-50-1
DB00190	17778-80-2
DB00190	24286-21-3
DB00190	27925-91-3
DB00190	28860-95-9
DB00190	28875-92-5
DB00190	3352-57-6
DB00190	38821-49-7
DB00190	500019-90-9
DB00190	558440-22-5
DB00190	56583-62-1
DB00190	57308-51-7
DB00190	65132-60-7
DB00190	7732-18-5
DB00190	7789-20-0
DB00191	1197-21-3
DB00191	122-09-8
DB00191	35373-71-8
DB00191	72050-93-2
DB00192	73681-12-6
DB00192	74517-78-5
DB00193	123134-25-8
DB00193	123154-38-1
DB00193	147630-09-9
DB00193	147630-10-2
DB00193	148229-78-1
DB00193	194602-08-9
DB00193	27203-92-5
DB00193	2914-77-4
DB00193	36282-47-0
DB00193	53611-16-8
DB00193	73806-49-2
DB00194	2006-02-2
DB00194	2946-52-3
DB00194	30143-02-3
DB00194	3080-29-3
DB00194	3228-71-5
DB00194	4005-33-8
DB00194	4185-03-9
DB00194	46946-45-6
DB00194	524-69-6
DB00194	5536-17-4
DB00194	5682-25-7
DB00194	58-61-7
DB00194	66592-84-5
DB00195	116209-55-3
DB00195	63659-18-7
DB00195	63659-19-8
DB00195	72424-72-7
DB00195	93221-48-8
DB00196	86386-73-4
DB00197	97322-87-7
DB00198	196618-13-0
DB00198	204255-09-4
DB00198	204255-11-8
DB00199	114-07-8
DB00199	82343-12-2
DB00200	13587-54-7
DB00200	13670-17-2
DB00200	13968-08-6
DB00200	13968-48-4
DB00200	13982-43-9
DB00200	14280-30-9
DB00200	14314-42-2
DB00200	14337-01-0
DB00200	14797-71-8
DB00200	14940-63-7
DB00200	14940-65-9
DB00200	156428-50-1
DB00200	17778-80-2
DB00200	22541-63-5
DB00200	24286-21-3
DB00200	3352-57-6
DB00200	558440-22-5
DB00200	56583-62-1
DB00200	7732-18-5
DB00200	7789-20-0
DB00201	202282-98-2
DB00201	26351-03-1
DB00201	26351-04-2
DB00201	58-08-2
DB00201	72238-85-8
DB00201	77196-81-7
DB00202	10168-63-5
DB00202	306-40-1
DB00202	541-19-5
DB00202	55-94-7
DB00202	6101-15-1
DB00202	71-27-2
DB00203	139755-83-2
DB00203	171599-83-0
DB00203	951385-68-5
DB00204	115256-11-6
DB00205	19085-09-7
DB00205	37338-39-9
DB00205	37357-69-0
DB00205	53640-38-3
DB00205	55128-75-1
DB00205	58-14-0
DB00205	59988-99-7
DB00205	65703-46-0
DB00205	69191-18-0
DB00205	7403-48-7
DB00205	81247-66-7
DB00205	85819-86-9
DB00205	96283-37-3
DB00206	1263-58-7
DB00206	1407-38-1
DB00206	482-85-9
DB00207	117772-70-0
DB00207	121470-24-4
DB00207	122463-26-7
DB00207	83905-01-5
DB00208	53885-35-1
DB00208	55142-85-3
DB00209	10405-02-4
DB00209	47608-32-2
DB00209	73954-17-3
DB00210	106685-40-9
DB00211	3092-17-9
DB00211	42794-76-3
DB00213	102625-70-7
DB00213	922727-65-9
DB00214	56211-40-6
DB00215	128196-01-0
DB00215	219861-08-2
DB00215	59729-32-7
DB00215	59729-33-8
DB00215	85118-27-0
DB00216	143322-58-1
DB00217	114-85-2
DB00217	2863-34-5
DB00217	55-73-2
DB00218	151096-09-2
DB00218	186826-86-8
DB00218	354812-41-2
DB00219	1407-05-2
DB00219	14214-84-7
DB00219	3486-39-3
DB00219	50-10-2
DB00219	8056-07-3
DB00220	159989-64-7
DB00220	159989-65-8
DB00221	2576-92-3
DB00221	50-96-4
DB00221	530-08-5
DB00221	63550-80-1
DB00221	7279-75-6
DB00222	834894-07-4
DB00222	93479-97-1
DB00223	2135-17-3
DB00223	2557-49-5
DB00223	26259-77-8
DB00223	60895-22-9
DB00224	150378-17-9
DB00224	157810-81-6
DB00224	180683-37-8
DB00225	122760-91-2
DB00225	122795-43-1
DB00225	128326-81-8
DB00225	131410-48-5
DB00225	131410-50-9
DB00225	13587-54-7
DB00225	13670-17-2
DB00225	13968-08-6
DB00225	13968-48-4
DB00225	13982-43-9
DB00225	14280-30-9
DB00225	14314-42-2
DB00225	14337-01-0
DB00225	14797-71-8
DB00225	14940-63-7
DB00225	14940-65-9
DB00225	156428-50-1
DB00225	17778-80-2
DB00225	22541-19-1
DB00225	24286-21-3
DB00225	3352-57-6
DB00225	558440-22-5
DB00225	56583-62-1
DB00225	7732-18-5
DB00225	7789-20-0
DB00226	22195-34-2
DB00226	40580-59-4
DB00227	365453-26-5
DB00227	71949-96-7
DB00227	75330-75-5
DB00228	13838-16-9
DB00229	61622-34-2
DB00229	66309-69-1
DB00230	148553-50-8
DB00231	78065-43-7
DB00231	846-50-4
DB00232	135-07-9
DB00232	8057-21-4
DB00233	133-09-5
DB00233	133-10-8
DB00233	133-15-3
DB00233	142785-14-6
DB00233	142785-15-7
DB00233	14641-21-5
DB00233	15767-73-4
DB00233	2066-89-9
DB00233	2508-73-8
DB00233	3144-30-7
DB00233	3269-83-8
DB00233	3547-60-2
DB00233	3633-62-3
DB00233	36614-30-9
DB00233	52224-16-5
DB00233	5327-56-0
DB00233	55720-09-7
DB00233	6018-18-4
DB00233	6018-19-5
DB00233	65-49-6
DB00233	66863-08-9
DB00233	72283-97-7
DB00233	8031-28-5
DB00234	141425-90-3
DB00234	635724-55-9
DB00234	71620-89-8
DB00234	93851-85-5
DB00234	93851-87-7
DB00234	98769-81-4
DB00234	98769-84-7
DB00234	98819-76-2
DB00235	100286-97-3
DB00235	78415-72-2
DB00236	54-91-1
DB00237	1135-61-1
DB00237	125-40-6
DB00237	143-81-7
DB00237	3330-61-8
DB00237	75847-62-0
DB00238	129618-40-2
DB00238	811471-91-7
DB00239	104360-36-3
DB00239	64211-45-6
DB00239	64211-46-7
DB00240	67452-97-5
DB00241	122018-95-5
DB00241	23554-70-3
DB00241	51005-25-5
DB00241	60382-50-5
DB00241	624746-94-7
DB00241	77-26-9
DB00242	24757-90-2
DB00242	4291-63-8
DB00242	5542-92-7
DB00243	110445-25-5
DB00243	142387-99-3
DB00243	95635-55-5
DB00243	95635-56-6
DB00244	35589-28-7
DB00244	61513-32-4
DB00244	6291-36-7
DB00244	89-57-6
DB00245	132-17-2
DB00245	74195-64-5
DB00245	80677-48-1
DB00245	86-13-5
DB00246	122883-93-6
DB00246	138982-67-9
DB00246	146939-27-7
DB00246	185021-64-1
DB00246	199191-69-0
DB00247	1257-58-5
DB00247	129-49-7
DB00247	156558-44-0
DB00247	29605-96-7
DB00247	361-37-5
DB00248	81409-90-7
DB00248	85329-89-1
DB00249	13104-59-1
DB00249	1336-77-2
DB00249	53745-34-9
DB00249	60110-67-0
DB00250	103443-55-6
DB00250	106776-92-5
DB00250	125881-35-8
DB00250	37357-69-0
DB00250	55015-10-6
DB00250	69422-71-5
DB00250	7355-05-7
DB00250	80-08-0
DB00251	67915-31-5
DB00252	125-59-7
DB00252	1421-15-4
DB00252	17199-74-5
DB00252	57-41-0
DB00252	630-93-3
DB00252	64217-16-9
DB00252	77737-07-6
DB00252	77737-08-7
DB00252	78371-61-6
DB00252	8017-26-3
DB00252	8057-97-4
DB00252	84769-50-6
DB00253	2668-66-8
DB00254	10592-13-9
DB00254	17086-28-1
DB00254	24390-14-5
DB00254	564-25-0
DB00255	102584-76-9
DB00255	22610-99-7
DB00255	56-53-1
DB00255	63528-82-5
DB00255	6898-97-1
DB00257	117829-71-7
DB00257	23593-75-1
DB00257	77124-28-8
DB00257	82571-54-8
DB00257	90155-19-4
DB00257	92522-91-3
DB00258	1112-02-3
DB00258	1186-52-3
DB00258	14127-61-8
DB00258	157090-22-7
DB00258	17787-72-3
DB00258	18637-06-4
DB00258	62-54-4
DB00258	64-19-7
DB00258	68307-87-9
DB00258	68475-71-8
DB00258	71-50-1
DB00258	758-12-3
DB00258	79893-89-3
DB00259	102489-34-9
DB00259	12124-90-2
DB00259	129783-50-2
DB00259	161908-09-4
DB00259	6101-31-1
DB00259	63-74-1
DB00259	81219-14-9
DB00259	85029-93-2
DB00260	339-72-0
DB00260	68-39-3
DB00260	68-41-7
DB00262	154-93-8
DB00262	59099-88-6
DB00263	127-69-5
DB00263	4299-60-9
DB00263	51404-58-1
DB00263	83047-45-4
DB00264	111337-50-9
DB00264	119637-66-0
DB00264	37350-58-6
DB00264	51384-51-1
DB00264	55250-54-9
DB00264	56392-17-7
DB00264	56392-18-8
DB00264	79985-31-2
DB00264	81024-42-2
DB00264	81024-43-3
DB00264	98418-47-4
DB00265	483-63-6
DB00266	66-76-2
DB00267	65085-01-0
DB00267	75738-58-8
DB00268	91374-20-8
DB00268	91374-21-9
DB00269	569-57-3
DB00270	75695-93-1
DB00270	84260-64-0
DB00270	88977-22-4
DB00271	102341-28-6
DB00271	117-96-4
DB00271	131-49-7
DB00271	14855-77-7
DB00271	50978-11-5
DB00271	737-31-5
DB00271	77035-55-3
DB00271	78371-64-9
DB00271	8064-12-8
DB00272	105-20-4
DB00272	138-92-1
DB00273	97240-79-4
DB00274	56796-20-4
DB00274	56796-39-5
DB00275	144689-24-7
DB00276	51264-14-3
DB00276	54301-15-4
DB00276	54301-16-5
DB00276	80277-07-2
DB00276	80277-11-8
DB00276	80277-14-1
DB00277	111079-49-3
DB00278	121785-71-5
DB00278	141396-28-3
DB00278	74863-84-6
DB00279	15785-49-6
DB00279	20196-64-9
DB00279	24359-14-6
DB00279	3130-96-9
DB00279	39388-33-5
DB00279	41670-36-4
DB00279	55-06-1
DB00279	5714-08-9
DB00279	57164-27-9
DB00279	6138-47-2
DB00279	6893-02-3
DB00279	8065-29-0
DB00279	85101-00-4
DB00280	22059-60-5
DB00280	3737-09-5
DB00280	54687-36-4
DB00280	74464-83-8
DB00280	74464-84-9
DB00281	137-58-6
DB00281	851528-09-1
DB00282	109552-15-0
DB00282	40391-99-9
DB00282	57248-88-1
DB00282	80549-01-5
DB00283	14976-57-9
DB00283	15686-51-8
DB00283	39471-18-6
DB00283	51621-87-5
DB00283	76207-52-8
DB00284	56180-94-0
DB00285	93413-69-5
DB00285	99300-78-4
DB00286	1240-04-6
DB00286	17341-25-2
DB00286	29080-16-8
DB00286	438-67-5
DB00286	481-97-0
DB00286	7280-37-7
DB00287	157283-68-6
DB00288	51022-69-6
DB00289	82248-59-7
DB00289	83015-26-3
DB00290	11056-06-7
DB00290	49830-49-1
DB00290	62624-79-7
DB00290	67763-87-5
DB00291	1030-06-4
DB00291	305-03-3
DB00291	3308-26-7
DB00292	10573-22-5
DB00292	15301-65-2
DB00292	33125-97-2
DB00292	51919-80-3
DB00292	53188-20-8
DB00293	112887-68-0
DB00294	131562-74-8
DB00294	165050-21-5
DB00294	54048-10-1
DB00295	143-70-4
DB00295	16206-77-2
DB00295	47106-99-0
DB00295	57-27-2
DB00295	67293-88-3
DB00296	132112-35-7
DB00296	684647-62-9
DB00296	84057-95-4
DB00296	98717-15-8
DB00297	15233-43-9
DB00297	18010-40-7
DB00297	2180-92-9
DB00297	27262-45-9
DB00297	27262-46-0
DB00297	27262-47-1
DB00297	27262-48-2
DB00297	38396-39-3
DB00297	66558-79-0
DB00298	72822-12-9
DB00299	39809-25-1
DB00300	107021-12-5
DB00300	147127-19-3
DB00300	147127-20-6
DB00300	206184-49-8
DB00301	1847-24-1
DB00301	34214-51-2
DB00301	5250-39-5
DB00301	79806-18-1
DB00302	1197-17-7
DB00302	1197-18-8
DB00302	701-54-2
DB00303	153773-82-1
DB00303	153832-38-3
DB00303	153832-46-3
DB00304	54024-22-5
DB00304	71138-35-7
DB00305	1404-00-8
DB00305	144085-53-0
DB00305	50-07-7
DB00306	115-44-6
DB00306	24396-96-1
DB00307	153559-49-0
DB00308	122647-31-8
DB00308	122647-32-9
DB00308	136591-56-5
DB00308	136591-58-7
DB00309	53643-48-4
DB00309	59917-39-4
DB00310	376634-05-8
DB00310	73677-19-7
DB00310	77-36-1
DB00310	80434-87-3
DB00310	8058-25-1
DB00310	8067-84-3
DB00310	90992-24-8
DB00310	93281-22-2
DB00311	452-35-7
DB00311	8059-60-7
DB00312	5767-32-8
DB00312	76-74-4
DB00313	87745-18-4
DB00313	99-66-1
DB00314	11003-38-6
DB00314	1405-37-4
DB00314	33490-33-4
DB00314	37280-35-6
DB00315	139264-17-8
DB00316	103-90-2
DB00316	60902-28-5
DB00316	64315-36-2
DB00317	184475-35-2
DB00317	857091-32-8
DB00318	509-64-8
DB00318	76-57-3
DB00319	123683-33-0
DB00319	157044-21-8
DB00319	59703-84-3
DB00319	61477-96-1
DB00319	66258-76-2
DB00320	1381-02-8
DB00320	511-12-6
DB00320	52623-83-3
DB00320	5989-77-5
DB00320	76515-02-1
DB00320	79084-81-4
DB00320	81643-69-8
DB00321	17086-03-2
DB00321	50-48-6
DB00321	51248-68-1
DB00321	51602-26-7
DB00321	549-18-8
DB00321	8015-22-3
DB00321	93803-80-6
DB00322	2968-28-7
DB00322	50-91-9
DB00322	955-24-8
DB00323	134308-13-7
DB00324	426-13-1
DB00325	13755-38-9
DB00325	14452-93-8
DB00325	14649-69-5
DB00325	31811-86-6
DB00325	31811-87-7
DB00325	32611-01-1
DB00325	32824-72-9
DB00325	53683-99-1
DB00325	56861-28-0
DB00326	10094-62-9
DB00326	10894-62-9
DB00326	12565-60-5
DB00326	12565-63-8
DB00326	12786-09-3
DB00326	13007-85-7
DB00326	14127-61-8
DB00326	17140-60-2
DB00326	17787-72-3
DB00326	18312-25-9
DB00326	18637-06-4
DB00326	23067-13-2
DB00326	23167-96-6
DB00326	23351-51-1
DB00326	29039-00-7
DB00326	30080-50-3
DB00326	31138-65-5
DB00326	488-36-8
DB00326	5329-54-4
DB00326	68084-27-5
DB00326	68310-14-5
DB00326	68413-91-2
DB00326	68475-44-5
DB00326	68475-45-6
DB00326	68475-46-7
DB00326	68475-47-8
DB00326	68475-48-9
DB00326	7256-25-9
DB00326	74347-32-3
DB00326	87-74-1
DB00327	18145-12-5
DB00327	466-99-9
DB00327	71-68-1
DB00328	37242-43-6
DB00328	53-86-1
DB00330	1070-11-7
DB00330	74-55-5
DB00331	657-24-9
DB00332	10035-10-6
DB00332	115112-73-7
DB00332	13536-59-9
DB00332	14331-90-9
DB00332	14336-94-8
DB00332	14380-59-7
DB00332	14391-61-8
DB00332	14686-69-2
DB00332	14687-62-8
DB00332	14809-47-3
DB00332	15720-26-0
DB00332	15765-38-5
DB00332	15765-39-6
DB00332	16759-25-4
DB00332	22254-24-6
DB00332	24959-67-9
DB00332	438627-66-8
DB00332	60205-81-4
DB00332	66985-17-9
DB00333	1095-90-5
DB00333	125-56-4
DB00333	125-58-6
DB00333	15284-15-8
DB00333	19767-48-7
DB00333	23142-53-2
DB00333	297-88-1
DB00333	40580-77-6
DB00333	5653-80-5
DB00333	5967-73-7
DB00333	76-99-3
DB00334	132539-06-1
DB00335	126294-31-3
DB00335	29122-68-7
DB00335	51706-40-2
DB00335	52816-02-1
DB00335	56715-13-0
DB00335	60966-51-0
DB00335	73677-19-7
DB00335	81346-72-7
DB00335	93379-54-5
DB00336	59-87-0
DB00336	62476-74-8
DB00337	137071-32-0
DB00338	119141-88-7
DB00338	119141-89-8
DB00338	131959-78-9
DB00338	73590-58-6
DB00338	922731-01-9
DB00338	922731-03-1
DB00338	95382-33-5
DB00339	161935-14-4
DB00339	98-96-4
DB00340	115511-20-1
DB00340	1553-34-0
DB00340	4969-02-2
DB00340	7081-40-5
DB00340	96106-76-2
DB00341	130018-77-8
DB00341	130018-87-0
DB00341	83881-50-9
DB00341	83881-51-0
DB00341	83881-52-1
DB00342	123245-78-3
DB00342	50679-08-8
DB00343	112259-41-3
DB00343	144604-00-2
DB00343	23515-59-5
DB00343	31953-18-1
DB00343	33232-39-2
DB00343	33286-22-5
DB00343	34933-06-7
DB00343	42399-41-7
DB00343	42399-54-2
DB00343	56209-45-1
DB00344	1225-55-4
DB00344	438-60-8
DB00345	61-78-9
DB00345	94-16-6
DB00346	128707-53-9
DB00346	133880-44-1
DB00346	81403-68-1
DB00346	81403-80-7
DB00347	127-48-0
DB00347	72027-60-2
DB00348	104206-65-7
DB00349	22316-47-8
DB00349	75963-47-2
DB00350	38304-91-5
DB00351	425-51-4
DB00352	154-42-7
DB00352	69203-91-4
DB00353	113-42-8
DB00353	20313-98-8
DB00354	129-74-8
DB00354	78168-90-8
DB00354	82-95-1
DB00354	93963-66-7
DB00355	78110-38-0
DB00355	80581-85-7
DB00355	80581-86-8
DB00355	80581-95-9
DB00355	827021-54-5
DB00355	827611-49-4
DB00355	85506-30-5
DB00356	32850-84-3
DB00357	125-84-8
DB00357	13256-45-6
DB00357	23734-88-5
DB00357	55511-44-9
DB00357	57344-88-4
DB00357	65036-44-4
DB00357	67029-87-2
DB00358	49752-90-1
DB00358	51688-68-7
DB00358	51742-87-1
DB00358	51744-84-4
DB00358	51744-85-5
DB00358	51773-92-3
DB00358	53230-10-7
DB00358	69191-18-0
DB00359	12712-96-8
DB00359	141582-64-1
DB00359	39474-58-3
DB00359	547-32-0
DB00359	58098-08-1
DB00359	68-35-9
DB00359	73173-12-3
DB00359	76902-28-8
DB00359	79028-52-7
DB00359	812-13-5
DB00360	17528-72-2
DB00360	62989-33-7
DB00360	69056-38-8
DB00361	125317-39-7
DB00361	71486-22-1
DB00362	166663-25-8
DB00363	5786-21-0
DB00364	13587-54-7
DB00364	13670-17-2
DB00364	13968-08-6
DB00364	13968-48-4
DB00364	13982-43-9
DB00364	14280-30-9
DB00364	14314-42-2
DB00364	14337-01-0
DB00364	14797-71-8
DB00364	14940-63-7
DB00364	14940-65-9
DB00364	156428-50-1
DB00364	17778-80-2
DB00364	22537-23-1
