drugbank_id	nmrshiftdb2_id
DB04185	10016960
DB04193	10024112
DB04208	20040374
DB04219	20188012
DB04224	10008720
DB04224	10016910
DB04231	20188012
DB04242	10024827
DB04242	20096499
DB04250	20199012
DB04267	20031196
DB04272	10008628
DB04272	20207394
DB04272	20209106
DB04286	10026405
DB04286	10026406
DB04286	20027188
DB04299	10016803
DB04299	30095503
DB04299	8411
DB04304	20097591
DB04311	20207313
DB04325	20032292
DB04329	10016255
DB04335	10016343
DB04335	30095882
DB04337	10021859
DB04349	8115
DB04351	10008882
DB04355	10022021
DB04360	20208378
DB04364	10008966
DB04365	10024286
DB04381	10015860
DB04381	20042189
DB04383	10024070
DB04397	20188012
DB04398	8113
DB04404	20175904
DB04410	20143923
DB04417	10008820
DB04417	20097609
DB04419	20096826
DB04428	20188012
DB04435	20208607
DB04436	20033067
DB04440	10017710
DB04447	20097221
DB04448	20208596
DB04454	10016959
DB04455	10009018
DB04465	10026323
DB04465	10026324
DB04465	10026325
DB04474	20208017
DB04481	10005614
DB04484	20039264
DB04485	10016347
DB04491	20200877
DB04494	20188012
DB04499	10008800
DB04500	20036237
DB04501	10016419
DB04512	20181045
DB04519	20097210
DB04528	10015989
DB04533	20040421
DB04539	20206207
DB04540	10016303
DB04540	30097374
DB04541	20054770
DB04550	10022053
DB04553	20208935
DB04562	20111977
DB04569	30096632
DB04580	20054821
DB04581	20040814
DB04586	20028193
DB04605	10023976
DB04619	10008725
DB04620	20208302
DB04627	20173801
DB04628	20176741
DB04637	20209544
DB04638	20044812
DB04650	10016328
DB04650	75330
DB04665	10008786
DB04674	20041147
DB04699	10008823
DB04726	20172055
DB04734	10016804
DB04734	20168862
DB04737	75348
DB04745	10023501
DB04777	20122422
DB04782	20122422
DB04784	10008707
DB04795	20162061
DB04813	20200589
DB04815	30096614
DB04816	30100963
DB04824	30096628
DB04827	20096502
DB04829	10017661
DB04851	10008628
DB04851	20207394
DB04851	20209106
DB04874	10008743
DB04874	20025291
DB04886	20123593
DB04996	10005734
DB04996	10009160
DB04996	20025291
DB04996	30096620
DB05289	20207883
DB05296	10009160
DB05296	30096620
DB05316	10008687
DB05316	20097650
DB05347	20025956
DB05377	20208575
DB05384	10016779
DB05389	20188012
DB05428	10009160
DB05428	30096620
DB05436	10024965
DB05461	20188012
DB05478	19876
DB05494	10016346
DB05630	20188012
DB06151	10024965
DB06216	10016803
DB06216	30095503
DB06216	8411
DB06292	20188012
DB06292	8115
DB06637	10008866
DB06689	10008325
DB06689	10008720
DB06689	10016910
DB06689	20172705
DB06693	20142235
DB06693	20174812
DB06705	20188012
DB06707	20040694
DB06712	20209816
DB06723	20188012
DB06727	10016305
DB06727	20101095
DB06727	30085199
DB06727	30085414
DB06727	30085415
DB06727	30085433
DB06727	30085436
DB06727	30085438
DB06727	30085511
DB06727	30085947
DB06728	10005663
DB06768	20025291
DB06768	8113
DB06770	10005706
DB06777	10009059
DB06782	20097917
DB06795	20112341
DB06934	20026636
DB06973	20096923
DB06987	20209081
DB07291	10018735
DB07301	10006006
DB07331	20040330
DB07372	10016514
DB07376	20208279
DB07381	20033058
DB07447	20059206
DB07478	20209774
DB07496	20096830
DB07529	20233867
DB07623	20027674
DB07669	88414
DB07673	75039
DB07690	10009056
DB07767	10009240
DB07768	10016300
DB07776	10016211
DB07795	20096805
DB07810	20123979
DB07814	20000382
DB07919	10018937
DB07950	20097589
DB07980	20209464
DB08132	20208526
DB08193	20208097
DB08209	30095492
DB08214	76839
DB08238	20097213
DB08254	20097586
DB08286	20198967
DB08294	20040729
DB08298	20209411
DB08327	20039579
DB08357	20097239
DB08381	10016515
DB08399	20246875
DB08508	30096627
DB08587	10009239
DB08587	20035521
DB08632	10008692
DB08652	20209573
DB08653	20143557
DB08653	20200939
DB08711	20044531
DB08748	20123964
DB08797	10008875
DB08798	20044519
DB08809	10016785
DB08809	20202099
DB08826	20208688
DB08837	20045263
DB08844	10016335
DB08847	10009020
DB08847	30095877
DB08938	20188012
DB08944	10008628
DB08944	20182448
DB08944	20207394
DB08944	20209106
DB08946	20200938
DB08967	19876
DB08969	20208215
DB08982	10008574
DB09019	20068559
DB09023	75420
DB09028	10017635
DB09028	30085428
