drugbank_id	recon_id
DB02571	L2aadp6sa
DB02577	pheme
DB02579	acryl
DB02594	dcyt
DB02637	oaa
DB02648	crn
DB02655	asp_D
DB02655	asp_L
DB02657	gam6p
DB02659	cholate
DB02678	gam
DB02688	2amac
DB02691	gchola
DB02692	thbpt
DB02693	dttOX
DB02701	ncam
DB02714	3ump
DB02724	fe3
DB02726	2pglyc
DB02743	lcts
DB02743	malt
DB02745	uri
DB02750	cys_L
DB02751	gudac
DB02761	thcys
DB02772	sucr
DB02789	prgnlone
DB02805	3ump
DB02831	pi
DB02835	C03693
DB02838	1p2cbxl
DB02843	HC01111
DB02843	g1p
DB02843	gal1p
DB02843	man1p
DB02853	pro_D
DB02853	pro_L
DB02854	ahandrostan
DB02854	andrstrn
DB02857	gsn
DB02867	HC01111
DB02867	g1p
DB02867	gal1p
DB02867	man1p
DB02893	met_L
DB02900	g6p
DB02900	man6p
DB02901	5adtststerone
DB02902	paps
DB02910	occoa
DB02914	CE5014
DB02920	HC02172
DB02942	mi13p
DB02945	glcur
DB02951	hpyr
DB02957	orot5p
DB02958	C05708
DB02959	5htrp
DB03013	HC00822
DB03041	udpglcur
DB03059	aacoa
DB03066	lac_D
DB03066	lac_L
DB03085	glyclt
DB03088	5oxpro
DB03089	asp_D
DB03089	asp_L
DB03101	r1p
DB03103	dtdp
DB03106	inost
DB03107	ala_B
DB03109	acgal
DB03109	acgam
DB03109	acmana
DB03128	ach
DB03142	rib_D
DB03144	nwharg
DB03147	fad
DB03156	glcur
DB03158	mi14p
DB03166	ac
DB03170	dpcoa
DB03192	3hdcoa
DB03192	HC01403
DB03193	ocdca
DB03201	cys_L
DB03203	sphings
DB03222	datp
DB03227	nmn
DB03229	4mop
DB03246	rib_D
DB03247	fmn
DB03252	lys_L
DB03256	5fthf
DB03258	dctp
DB03264	ddcacoa
DB03271	CE2705
DB03277	malttr
DB03283	fuc_L
DB03310	gthox
DB03323	lcts
DB03323	malt
DB03328	HC00250
DB03344	mi13456p
DB03374	35diotyr
DB03381	hxdcal
DB03389	arab_L
DB03397	uacgam
DB03397	udpacgal
DB03401	mi134p
DB03401	mi145p
DB03403	cmp
DB03407	24nph
DB03408	glucys
DB03413	dudp
DB03416	thmmp
DB03419	ura
DB03423	seahcys
DB03432	3aib
DB03432	3aib_D
DB03435	udp
DB03461	nadp
DB03462	thym
DB03465	2pg
DB03485	fuc_L
DB03491	dgdp
DB03499	mal_L
DB03501	udpg
DB03501	udpgal
DB03511	glcur
DB03512	h2o
DB03512	oh1
DB03518	mev_R
DB03528	adn
DB03542	mi1p_D
DB03542	mi3p_D
DB03542	mi4p_D
DB03566	spmd
DB03567	acgal
DB03567	acgam
DB03567	acmana
DB03568	but
DB03574	fe3
DB03587	mthgxl
DB03600	HC02175
DB03603	glcr
DB03604	CE2883
DB03612	3hbcoa
DB03612	3hbcoa_R
DB03618	mn
DB03619	C04483
DB03619	dchac
DB03644	3hanthrn
DB03652	glcur
DB03661	Lcyst
DB03681	cl
DB03685	ump
DB03688	3hpp
DB03696	lanost
DB03699	succoa
DB03700	thr_L
DB03704	whddca
DB03708	aps
DB03721	acnam
DB03723	dtdprmn
DB03740	acgal
DB03740	acgam
DB03740	acmana
DB03751	dtdpglu
DB03756	CE0328
DB03756	crvnc
DB03760	C02147
DB03766	ppa
DB03773	fuc_L
DB03774	glu5sa
DB03776	lald_D
DB03776	lald_L
DB03793	bz
DB03796	hdca
DB03798	dcmp
DB03800	dump
DB03832	HC01007
DB03832	c8crn
DB03839	tyr_L
DB03840	h2o
DB03840	oh1
DB03843	fald
DB03866	HC02217
DB03882	CE2209
DB03884	phpyr
DB03896	pppi
DB03902	oxa
DB03904	urea
DB03911	arab_L
DB03912	pan4p
DB03915	2aobut
DB03918	thbpt
DB03926	CE2209
DB03929	ser_D
DB03929	ser_L
DB03934	pheme
DB03937	e4p
DB03943	asn_L
DB03945	cholp
DB03947	rbl_D
DB03947	xylu_D
DB03947	xylu_L
DB03951	acgam6p
DB03951	acmanap
DB03956	mi134p
DB03956	mi145p
DB03977	tmlys
DB03983	HC00250
DB03989	gal
DB03989	glc_D
DB03989	man
DB03994	etha
DB04005	utp
DB04027	arg_D
DB04027	arg_L
DB04031	h2o
DB04031	oh1
DB04034	ru5p_D
DB04034	xu5p_D
DB04045	mmcoa_R
DB04045	mmcoa_S
DB04056	anth
DB04062	fuc_L
DB04066	T4hcinnm
DB04072	micit
DB04074	3mob
DB04075	acglu
DB04077	glyc
DB04099	dnad
DB04100	co
DB04116	HC00229
DB04122	g6p
DB04122	man6p
DB04127	r5p
DB04137	gtp
DB04153	HC02121
DB04160	ppi
DB04166	anth
DB04173	fru
DB04183	HC00900
DB04193	hom_L
DB04194	chtn
DB04207	saccrp_L
DB04214	HC01104
DB04219	h2o
DB04219	oh1
DB04224	elaid
DB04224	ocdcea
DB04231	h2o
DB04231	oh1
DB04242	4hbz
DB04248	malttr
DB04252	cbasp
DB04257	hdcea
DB04265	acnam
DB04272	cit
DB04275	Nacsertn
DB04286	arab_L
DB04290	cdpchol
DB04299	fum
DB04300	mi1346p
DB04304	glcn
DB04304	guln
DB04315	gdp
DB04319	fuc_L
DB04325	peamn
DB04326	dhap
DB04335	ins
DB04343	glx
DB04348	tchola
DB04349	12ppd_R
DB04349	12ppd_S
DB04351	HC00342
DB04352	r5p
DB04355	udpg
DB04355	udpgal
DB04370	slfcys
DB04375	5mthf
DB04380	alltt
DB04388	glu5sa
DB04397	h2o
DB04397	oh1
DB04398	lac_D
DB04398	lac_L
DB04400	CE2705
DB04401	betald
DB04417	4nph
DB04418	dcamp
DB04422	hcys_L
DB04428	h2o
DB04428	oh1
DB04445	i
DB04447	dtt
DB04454	C02356
DB04455	glyb
DB04457	dgmp
DB04465	lcts
DB04465	malt
DB04473	fuc_L
DB04485	thymd
