drugbank_id	pubchem_tpharma_id
DB00014	131339118
DB00014	14841899
DB00014	14940005
DB00014	16593612
DB00035	14767973
DB00035	14768159
DB00035	14792489
DB00035	14890191
DB00050	131536304
DB00050	14768541
DB00050	14842112
DB00050	14915241
DB00050	14915566
DB00050	14967128
DB00050	16299679
DB00050	21959982
DB00050	57278194
DB00050	81046041
DB00050	85283949
DB00091	103911675
DB00091	125298642
DB00091	14768881
DB00091	14768921
DB00091	14792622
DB00091	14793072
DB00091	14793303
DB00091	14817125
DB00091	14817126
DB00091	14817127
DB00091	14817493
DB00091	14817512
DB00091	14817748
DB00091	14842123
DB00091	14842309
DB00091	14866177
DB00091	14866178
DB00091	14866683
DB00091	14866812
DB00091	14890756
DB00091	14914941
DB00091	14915209
DB00091	14915319
DB00091	14915408
DB00091	14939673
DB00091	14939745
DB00091	14939756
DB00091	15510395
DB00091	15710602
DB00091	16141598
DB00091	16275145
DB00091	16520141
DB00091	16630181
DB00091	16659346
DB00091	16747030
DB00091	16931078
DB00091	24264855
DB00091	24431418
DB00091	24434945
DB00091	26653638
DB00091	26688187
DB00091	46520624
DB00091	46525763
DB00091	56268205
DB00091	56425270
DB00091	85286252
DB00093	16874631
DB00093	17503556
DB00104	131339098
DB00104	14768855
DB00104	14792217
DB00104	14939169
DB00104	152191363
DB00104	16651896
DB00104	16901119
DB00104	26681878
DB00104	26738293
DB00104	49754122
DB00104	56339199
DB00104	56452078
DB00104	57414837
DB00104	74375229
DB00104	74375299
DB00104	74375300
DB00104	74375370
DB00104	74375371
DB00104	74375443
DB00104	74375444
DB00104	74375510
DB00104	85189867
DB00114	134431075
DB00114	135664264
DB00114	14847611
DB00114	14888604
DB00114	14963425
DB00114	16323219
DB00114	16608059
DB00114	16614624
DB00114	16698498
DB00114	16775053
DB00114	16810791
DB00115	14939662
DB00115	14939663
DB00115	16043731
DB00115	16068088
DB00116	104229055
DB00116	135379385
DB00116	14759609
DB00116	14783879
DB00116	14785770
DB00116	14857355
DB00116	14883585
DB00116	14908083
DB00116	15240292
DB00116	16089619
DB00116	163499921
DB00116	163500150
DB00116	16455256
DB00116	16540428
DB00116	16649811
DB00116	16729485
DB00116	16835751
DB00116	16943089
DB00116	85205691
DB00116	85205692
DB00116	85205916
DB00116	85205917
DB00116	85205918
DB00116	85205919
DB00116	85262769
DB00117	14747966
DB00117	14772376
DB00117	15091155
DB00117	15120226
DB00117	15170951
DB00117	15265119
DB00117	15321675
DB00117	15321676
DB00117	15321682
DB00117	15339432
DB00117	15388644
DB00117	15462183
DB00117	16238413
DB00117	16238459
DB00117	16275662
DB00117	16472110
DB00117	57644999
DB00117	96040640
DB00118	14793054
DB00118	14805656
DB00118	14805657
DB00118	14830370
DB00118	14840385
DB00118	14841069
DB00118	14862236
DB00118	14863197
DB00118	14887304
DB00118	14912797
DB00118	14912835
DB00118	14915681
DB00118	14930202
DB00118	14938527
DB00118	14939993
DB00118	14962317
DB00118	14964522
DB00118	14965097
DB00118	14983241
