drugbank_id	chembl_id
DB00178	CHEMBL1168
DB00178	CHEMBL1315384
DB00178	CHEMBL1319316
DB00178	CHEMBL1416376
DB00178	CHEMBL1883982
DB00179	CHEMBL185893
DB00179	CHEMBL313972
DB00179	CHEMBL52
DB00180	CHEMBL1322608
DB00180	CHEMBL1512
DB00180	CHEMBL1525482
DB00180	CHEMBL3190704
DB00181	CHEMBL166514
DB00181	CHEMBL1897150
DB00181	CHEMBL301742
DB00181	CHEMBL302213
DB00181	CHEMBL349178
DB00181	CHEMBL352606
DB00181	CHEMBL701
DB00182	CHEMBL19393
DB00182	CHEMBL405
DB00182	CHEMBL612
DB00184	CHEMBL1628647
DB00184	CHEMBL3
DB00184	CHEMBL440464
DB00184	CHEMBL9732
DB00185	CHEMBL1201267
DB00185	CHEMBL167593
DB00185	CHEMBL168815
DB00185	CHEMBL2021361
DB00185	CHEMBL2218917
DB00186	CHEMBL249262
DB00186	CHEMBL399057
DB00186	CHEMBL580
DB00187	CHEMBL1201115
DB00187	CHEMBL768
DB00188	CHEMBL1530
DB00188	CHEMBL325041
DB00188	CHEMBL524664
DB00189	CHEMBL591
DB00190	CHEMBL1098659
DB00190	CHEMBL1179357
DB00190	CHEMBL1200748
DB00190	CHEMBL1201236
DB00190	CHEMBL1232306
DB00190	CHEMBL1417392
DB00190	CHEMBL2105800
DB00190	CHEMBL2106489
DB00191	CHEMBL1200912
DB00191	CHEMBL1574
DB00192	CHEMBL1200341
DB00192	CHEMBL1201242
DB00193	CHEMBL1066
DB00193	CHEMBL1200336
DB00193	CHEMBL1237044
DB00193	CHEMBL1237065
DB00193	CHEMBL1573765
DB00193	CHEMBL201531
DB00193	CHEMBL379021
DB00193	CHEMBL438627
DB00194	CHEMBL1090
DB00194	CHEMBL11909
DB00194	CHEMBL1236872
DB00194	CHEMBL1413677
DB00194	CHEMBL145188
DB00194	CHEMBL20247
DB00194	CHEMBL2051971
DB00194	CHEMBL3248866
DB00194	CHEMBL477
DB00194	CHEMBL91573
DB00195	CHEMBL1200837
DB00195	CHEMBL1201274
DB00195	CHEMBL1369414
DB00195	CHEMBL1691
DB00195	CHEMBL423
DB00196	CHEMBL106
DB00196	CHEMBL1163001
DB00197	CHEMBL408
DB00198	CHEMBL1200340
DB00198	CHEMBL1229
DB00198	CHEMBL1399927
DB00198	CHEMBL1619541
DB00198	CHEMBL251990
DB00198	CHEMBL3183419
DB00199	CHEMBL1315430
DB00199	CHEMBL1317549
DB00199	CHEMBL1328576
DB00199	CHEMBL1528078
DB00199	CHEMBL1671887
DB00199	CHEMBL406286
DB00199	CHEMBL406517
DB00199	CHEMBL532
DB00200	CHEMBL1098659
DB00200	CHEMBL1232306
DB00200	CHEMBL2105800
DB00200	CHEMBL2106489
DB00201	CHEMBL113
DB00202	CHEMBL1906346
DB00202	CHEMBL2104486
DB00202	CHEMBL703
DB00202	CHEMBL983
DB00203	CHEMBL1737
DB00203	CHEMBL192
DB00204	CHEMBL473
DB00205	CHEMBL3137689
DB00205	CHEMBL3137690
DB00205	CHEMBL36
DB00206	CHEMBL1315313
DB00206	CHEMBL1396912
DB00206	CHEMBL1433658
DB00206	CHEMBL1452716
DB00206	CHEMBL357497
DB00206	CHEMBL388848
DB00206	CHEMBL772
DB00207	CHEMBL2361091
DB00207	CHEMBL3187520
DB00207	CHEMBL529
DB00208	CHEMBL1717
DB00208	CHEMBL833
DB00209	CHEMBL1201344
DB00209	CHEMBL1888176
DB00209	CHEMBL3084748
DB00210	CHEMBL1265
DB00211	CHEMBL1200461
DB00211	CHEMBL1201212
DB00211	CHEMBL255026
DB00211	CHEMBL255027
DB00212	CHEMBL1783187
DB00212	CHEMBL31601
DB00213	CHEMBL1502
DB00213	CHEMBL2096747
DB00214	CHEMBL1148
DB00215	CHEMBL1200322
DB00215	CHEMBL1200781
DB00215	CHEMBL1508
DB00215	CHEMBL1628605
DB00215	CHEMBL399730
DB00215	CHEMBL549
DB00216	CHEMBL1201003
DB00216	CHEMBL1510
DB00216	CHEMBL1628626
DB00217	CHEMBL1200918
DB00217	CHEMBL1201260
DB00218	CHEMBL1200735
DB00218	CHEMBL2326947
DB00218	CHEMBL3186729
DB00218	CHEMBL3191388
DB00218	CHEMBL32
DB00218	CHEMBL575997
DB00219	CHEMBL1200906
DB00219	CHEMBL1201286
DB00220	CHEMBL1159655
DB00220	CHEMBL1205
DB00220	CHEMBL365442
DB00220	CHEMBL584
DB00221	CHEMBL1160722
DB00221	CHEMBL1200920
DB00221	CHEMBL1201153
DB00221	CHEMBL1201213
DB00221	CHEMBL1472703
DB00222	CHEMBL1481
DB00222	CHEMBL149223
DB00223	CHEMBL1201380
DB00223	CHEMBL1201392
DB00223	CHEMBL1414885
DB00223	CHEMBL2007346
DB00224	CHEMBL115
DB00224	CHEMBL1735
DB00224	CHEMBL3193626
DB00224	CHEMBL3301891
DB00225	CHEMBL106971
DB00225	CHEMBL1098659
DB00225	CHEMBL1232306
DB00225	CHEMBL2105800
DB00225	CHEMBL2106197
DB00225	CHEMBL2106489
DB00226	CHEMBL1037
DB00226	CHEMBL1200594
DB00226	CHEMBL1741534
DB00226	CHEMBL3184143
DB00227	CHEMBL1230589
DB00227	CHEMBL1394089
DB00227	CHEMBL140273
DB00227	CHEMBL1515625
DB00227	CHEMBL167159
DB00227	CHEMBL2364554
DB00227	CHEMBL3186637
DB00227	CHEMBL333443
DB00227	CHEMBL503
DB00227	CHEMBL79583
DB00228	CHEMBL1257
DB00229	CHEMBL1200589
DB00229	CHEMBL1296
DB00229	CHEMBL1512946
DB00230	CHEMBL1059
DB00230	CHEMBL167003
DB00230	CHEMBL2348413
DB00230	CHEMBL88034
DB00231	CHEMBL967
DB00232	CHEMBL1577
DB00233	CHEMBL1169
DB00233	CHEMBL1200584
DB00233	CHEMBL1200966
DB00233	CHEMBL1378207
DB00233	CHEMBL1496806
DB00233	CHEMBL2028275
DB00233	CHEMBL2028368
DB00233	CHEMBL2079816
DB00233	CHEMBL2096646
DB00233	CHEMBL2105983
DB00233	CHEMBL2219685
DB00233	CHEMBL2219686
DB00233	CHEMBL2219701
DB00233	CHEMBL3187221
DB00234	CHEMBL14370
DB00234	CHEMBL1556230
DB00234	CHEMBL180101
DB00234	CHEMBL2103809
DB00234	CHEMBL2105282
DB00234	CHEMBL2146087
DB00234	CHEMBL383921
DB00235	CHEMBL1200977
DB00235	CHEMBL189
DB00236	CHEMBL1585
DB00237	CHEMBL1200982
DB00237	CHEMBL449
DB00238	CHEMBL57
DB00239	CHEMBL1200836
DB00239	CHEMBL1262
DB00240	CHEMBL1201361
DB00241	CHEMBL454
DB00242	CHEMBL1619
DB00242	CHEMBL17639
DB00243	CHEMBL1357016
DB00243	CHEMBL1404
DB00243	CHEMBL1526084
DB00243	CHEMBL537649
DB00244	CHEMBL704
DB00245	CHEMBL116590
DB00245	CHEMBL1200383
DB00245	CHEMBL1201203
DB00245	CHEMBL1257125
DB00245	CHEMBL1442985
DB00245	CHEMBL1455394
DB00245	CHEMBL1618180
DB00245	CHEMBL438151
DB00246	CHEMBL1200997
DB00246	CHEMBL1375743
DB00246	CHEMBL1712
DB00246	CHEMBL708
DB00247	CHEMBL1065
DB00247	CHEMBL1200938
DB00247	CHEMBL1364291
DB00247	CHEMBL1397576
DB00247	CHEMBL1437801
DB00247	CHEMBL436174
DB00248	CHEMBL1201087
DB00248	CHEMBL1898147
DB00249	CHEMBL1437827
DB00249	CHEMBL268690
DB00249	CHEMBL408518
DB00249	CHEMBL788
DB00250	CHEMBL1043
DB00250	CHEMBL3137678
DB00250	CHEMBL3137689
DB00251	CHEMBL1306
DB00251	CHEMBL1410669
DB00251	CHEMBL1714574
DB00252	CHEMBL16
DB00252	CHEMBL1611
DB00252	CHEMBL3274483
DB00252	CHEMBL553532
DB00253	CHEMBL1201173
DB00253	CHEMBL1361852
DB00253	CHEMBL1520025
DB00254	CHEMBL1200567
DB00254	CHEMBL1200699
DB00254	CHEMBL1256723
DB00254	CHEMBL1356352
DB00254	CHEMBL1372176
DB00254	CHEMBL1433
DB00254	CHEMBL1574167
DB00254	CHEMBL1616405
DB00254	CHEMBL1624566
DB00254	CHEMBL2106418
DB00254	CHEMBL2364574
DB00254	CHEMBL2447928
DB00255	CHEMBL2135534
DB00255	CHEMBL411
DB00255	CHEMBL73310
DB00256	CHEMBL2103929
DB00257	CHEMBL104
DB00258	CHEMBL1200800
DB00258	CHEMBL539
DB00259	CHEMBL21
DB00260	CHEMBL1222336
DB00260	CHEMBL448864
DB00260	CHEMBL771
DB00260	CHEMBL8151
DB00261	CHEMBL1200759
DB00261	CHEMBL760
DB00262	CHEMBL513
DB00263	CHEMBL1200321
DB00263	CHEMBL453
DB00264	CHEMBL1200337
DB00264	CHEMBL1200898
DB00264	CHEMBL1256957
DB00264	CHEMBL13
DB00264	CHEMBL148306
DB00264	CHEMBL1741004
DB00264	CHEMBL1868892
DB00264	CHEMBL2062335
DB00264	CHEMBL2062339
DB00264	CHEMBL2356097
DB00264	CHEMBL3186768
DB00264	CHEMBL545787
DB00265	CHEMBL1200709
DB00265	CHEMBL1445323
DB00265	CHEMBL3183440
DB00266	CHEMBL1466
DB00267	CHEMBL1201086
DB00267	CHEMBL1201224
DB00267	CHEMBL1876548
DB00267	CHEMBL3183193
DB00267	CHEMBL84618
DB00268	CHEMBL1200411
DB00268	CHEMBL589
DB00269	CHEMBL1200761
DB00270	CHEMBL1648
DB00270	CHEMBL399539
DB00270	CHEMBL400875
DB00271	CHEMBL1200581
DB00271	CHEMBL1200839
DB00271	CHEMBL1201220
DB00271	CHEMBL1534228
DB00271	CHEMBL2106216
DB00271	CHEMBL3188504
DB00272	CHEMBL1200949
DB00272	CHEMBL1201323
DB00273	CHEMBL220492
DB00273	CHEMBL280803
DB00274	CHEMBL1201118
DB00274	CHEMBL1201195
DB00274	CHEMBL1366846
DB00274	CHEMBL1370376
DB00274	CHEMBL1616820
DB00274	CHEMBL313040
DB00275	CHEMBL1516
DB00276	CHEMBL1256655
DB00276	CHEMBL3229103
DB00276	CHEMBL43
DB00276	CHEMBL540070
DB00277	CHEMBL190
DB00278	CHEMBL1166
DB00278	CHEMBL1318289
DB00278	CHEMBL177078
DB00278	CHEMBL315611
DB00278	CHEMBL59461
DB00279	CHEMBL1201119
DB00279	CHEMBL1356342
DB00279	CHEMBL1360294
DB00279	CHEMBL1544
DB00279	CHEMBL2074910
DB00279	CHEMBL2106622
DB00279	CHEMBL2107398
DB00279	CHEMBL557
DB00279	CHEMBL789
DB00280	CHEMBL1201020
DB00280	CHEMBL269362
DB00280	CHEMBL517
DB00280	CHEMBL8821
DB00281	CHEMBL3278065
DB00281	CHEMBL79
DB00282	CHEMBL676
DB00282	CHEMBL834
DB00283	CHEMBL1200795
DB00283	CHEMBL1408519
DB00283	CHEMBL1434330
DB00283	CHEMBL1620822
DB00283	CHEMBL1626
DB00283	CHEMBL315157
DB00284	CHEMBL1363358
DB00284	CHEMBL1566
DB00284	CHEMBL1589862
DB00284	CHEMBL181568
DB00284	CHEMBL404271
DB00285	CHEMBL1201066
DB00285	CHEMBL251694
DB00285	CHEMBL252720
DB00285	CHEMBL3133301
DB00285	CHEMBL637
DB00286	CHEMBL1200980
DB00286	CHEMBL1546237
DB00286	CHEMBL2106240
DB00286	CHEMBL494753
DB00287	CHEMBL1200799
DB00287	CHEMBL185484
DB00287	CHEMBL3183199
DB00288	CHEMBL1200732
DB00288	CHEMBL1450079
DB00289	CHEMBL1442868
DB00289	CHEMBL1702
DB00289	CHEMBL299052
DB00289	CHEMBL641
DB00290	CHEMBL1977624
DB00290	CHEMBL2010411
DB00290	CHEMBL3085504
DB00290	CHEMBL3215500
