drugbank_id	fdasrs_id
DB00227	S9XFL13C1F
DB00229	91W6Z2N718
DB00229	H7V12WDZ93
DB00230	55JG375S6M
DB00233	5B2658E0N2
DB00233	73I4QDW01W
DB00233	7N21461LKD
DB00233	83J17CN0MN
DB00233	906A0BH3N7
DB00233	91KBU41W77
DB00233	S38B9W6AXW
DB00233	T9ZKL3TNQF
DB00233	Y3QG0ULN6F
DB00234	L8S50ZY490
DB00234	XQO13W6OCH
DB00235	JU9YAX04C7
DB00236	6Q99RDT97R
DB00238	99DK7FVK1H
DB00239	C668Q9I33J
DB00239	RQ8UL4C17S
DB00240	136H45TB7B
DB00241	BBH31P2ABJ
DB00241	KHS0AZ4JVK
DB00242	47M74X9YT5
DB00244	4Q81I59GXC
DB00245	1NHL2J4X8K
DB00245	WMJ8TL7510
DB00246	216X081ORU
DB00246	3X6SAX83JZ
DB00246	6UKA5VEJ6X
DB00246	JAL53626GG
DB00246	VCY3F61S5R
DB00247	2U7H1466GH
DB00247	XZA9HY6Z98
DB00248	477M7SA9N9
DB00248	LL60K9J05T
DB00249	7E78KL7PVW
DB00249	LGP81V5245
DB00250	8W5C518302
DB00252	4182431BJH
DB00252	6158TKW0C5
DB00253	D2UFC189XF
DB00254	19XTS3T51U
DB00254	334895S862
DB00254	4182Z6T2ET
DB00254	N12000U13O
DB00254	NPV78C39GQ
DB00254	TCM2489R27
DB00254	TR57F2W7Q6
DB00254	XE29OXU0VW
DB00254	YK3J80P304
DB00255	731DCA35BT
DB00257	G07GZ97H65
DB00258	29JB6BU01H
DB00258	2A9OM7IPNW
DB00258	2M83C4R6ZB
DB00258	3XE66AE04I
DB00258	569DQM74SC
DB00258	96R7020BND
DB00258	Q40Q9N063P
DB00258	T7F702FETA
DB00258	Y882YXF34X
DB00259	21240MF57M
DB00259	I70552426D
DB00260	24EZ3L1E6S
DB00260	95IK5KI84Z
DB00260	9EU8RZ6U9O
DB00260	AK7DRB7FMO
DB00261	K9X45X0051
DB00261	VNS4435G39
DB00262	U68WG3173Y
DB00263	30S4B46J8B
DB00263	740T4C525W
DB00265	2EEH27851Y
DB00265	RG5JA2O40Z
DB00266	7QID3E7BG7
DB00267	KBZ4844CXN
DB00267	NON736D32W
DB00267	RB30TNF2RT
DB00268	030PYR8953
DB00268	D7ZD41RZI9
DB00269	6V5034L121
DB00271	35274T81AX
DB00271	3X9MR4N98U
DB00271	408463F217
DB00271	4T76D71T6U
DB00271	5UVC90J1LK
DB00271	75P8ODS709
DB00271	9PCJ65W0EE
DB00271	O08Q0N9P6D
DB00271	V5403H8VG7
DB00272	1C065P542O
DB00272	66ABP6C83F
DB00273	0H73WJJ391
DB00274	37Y9VR4W7A
DB00274	3J962UJT8H
DB00275	8W1IQP3U10
DB00275	DJD559V57Z
DB00276	00DPD30SOY
DB00276	7LWQ0T63UA
DB00276	M4P91439UZ
DB00276	U66HX4K4CO
DB00277	0I55128JYK
DB00278	0DW7MIH1VX
DB00278	4YBM839JAC
DB00278	88X69347Z5
DB00278	LLV7G55828
DB00279	06LU7C9H1V
DB00279	46XII7C16X
DB00279	86AZ0G22V2
DB00279	GCA9VV7D2N
DB00279	S1UAI9MKMG
DB00279	T66DHO0SET
DB00281	98PI200987
DB00282	8742T8ZQZA
DB00282	C7S8VWP5DH
DB00282	OYY3447OMC
DB00283	19259EGQ3D
DB00283	95QN29S1ID
DB00286	18HB6B1L37
DB00286	6K6FDA543A
DB00286	C354LET0O4
DB00286	LYR4M0NH37
DB00286	QTL48N278K
DB00286	SVI38UY019
DB00286	UR0T0B24E9
DB00287	IDA6371YXH
DB00287	NDD23J941F
DB00287	WJ68R08KX9
DB00288	423W026MA9
DB00289	57WVB6I2W0
DB00289	ASW034S0B8
DB00290	13M89UEA7W
DB00290	26S41LI56J
DB00290	U4S5LQV9S2
DB00291	18D0SL7309
DB00292	Y26131IQZI
DB00292	Z22628B598
DB00292	ZUM3W5027S
DB00293	FCB9EGG971
DB00294	304GTH6RNH
DB00295	76I7G6D29C
DB00296	0494L275Q6
DB00296	35504LBE2T
DB00296	7IO5LYA57N
DB00296	L3PZV0QTF5
DB00296	MI262Q4RJI
DB00296	V910P86109
DB00297	A5H73K9U3W
DB00297	J998RDZ51I
DB00298	5RNZ8GJO7K
DB00298	DS9UJN1I0X
DB00299	359HUE8FJC
DB00299	P06226385L
DB00300	99YXE507IL
DB00300	W4HFE001U5
DB00301	05F65O42VK
DB00301	1L80I8UP9C
DB00301	43B2M34G2V
DB00301	LMG7C674WJ
DB00302	37YD696II6
DB00302	6T84R30KC1
DB00303	G32F6EID2H
DB00303	P5HEA33D9R
DB00304	81K9V7M3A3
DB00305	50SG953SK6
DB00307	A61RXM4375
DB00309	CPH2U7DNDY
DB00309	RSA8KO39WH
DB00311	Z52H4811WX
DB00313	614OI1Z5WI
DB00314	2V198449RN
DB00314	2YP3RYC823
DB00314	4AUQ151IUH
DB00314	7LHE7403KL
DB00315	2FS66TH3YW
DB00315	F3YOE57701
DB00316	362O9ITL9D
DB00317	S65743JHBS
DB00318	UX6OWY2V7J
DB00319	9I628532GX
DB00319	M98T69Q7HP
DB00319	X00B0D5O0E
DB00320	436O5HM03C
DB00320	81AXN7R2QT
DB00321	1806D8D52K
DB00321	26LUD4JO9K
DB00322	039LU44I5M
DB00323	CIF6334OLY
DB00324	SV0CSG527L
DB00326	13809H6DVG
DB00326	2AY21R0U64
DB00326	2M83C4R6ZB
DB00326	3D49LE7HM2
DB00326	3XE66AE04I
DB00326	45E26F1TPT
DB00326	6Y5NDD0J6B
DB00326	B1F50160Z2
DB00326	BKS96P38NP
DB00326	I4907K6541
DB00326	I853LE095B
DB00326	K07ITU6FP6
DB00326	NR47LC4280
DB00326	T7F702FETA
DB00326	TE57AX2U1N
DB00327	75Y990NH3Z
DB00327	L960UP2KRW
DB00327	Q812464R06
DB00328	XXE1CET956
DB00330	8G167061QZ
DB00330	9SH638YWNG
DB00330	JV86Y0CIVF
DB00330	QE4VW5FO07
DB00331	9100L32L2N
DB00332	3IY7CNP8XJ
DB00332	952902IX06
DB00332	C684AL3ZG7
DB00332	KQ7PNA8VW2
DB00332	LTM112Q284
DB00332	Z5W1X83FUI
DB00333	6Y75Z4E8NS
DB00333	V57LC776C0
DB00334	0Q8K2L0MC3
DB00334	BC164W3V2U
DB00334	H6S0L674WD
DB00334	N7U69T4SZR
DB00334	X7S6Q4MHCB
DB00335	DPF757BOSR
DB00335	YG132I00WY
DB00336	X8XI70B5Z6
DB00337	7KYV510875
DB00338	N3PA6559FT
DB00339	2KNI5N06TI
DB00341	6U5EA9RT2O
DB00341	SOD6A38AGA
DB00341	W69HSF2416
DB00343	14Y6444DRP
DB00343	896626Q8XW
DB00343	EE92BBP03H
DB00343	OLH94387TE
DB00344	44665V00O8
DB00344	4NDU154T12
DB00345	SUO3KVS1O9
DB00345	Y79XT83BJ9
DB00347	R7GV3H6FQ4
DB00348	K5BN214699
DB00349	2MRO291B4U
DB00350	5965120SH1
DB00350	HM46T3593Q
DB00352	4T84349O1E
DB00352	WIX31ZPX66
DB00353	5EDH242U9O
DB00353	IR84JPZ1RK
DB00353	W53L6FE61V
DB00355	5Q55M3D9UA
DB00355	G2B4VE5GH8
DB00355	XNM7LT65NP
DB00356	H0DE420U8G
DB00357	49390WAD7F
DB00357	625K4DEO0G
DB00358	326VC85GV6
DB00359	0N7609K889
DB00360	EGX657432I
DB00360	RG277LF5B3
DB00361	253GQW851Q
DB00361	Q6C979R91Y
DB00362	9HLM53094I
DB00363	80862U56A3
DB00363	J60AR2IKIC
DB00364	059QF0KO0R
DB00364	3XHB1D032B
DB00364	63M8RYN44N
DB00364	7QV8F8BYNJ
DB00364	9159UV381P
DB00364	J65BV539M3
DB00367	5W7SIA7YZW
DB00367	Z2QG2679YT
DB00368	4W6461XR05
DB00368	887AEE91JI
DB00368	IFY5PE3ZRW
DB00368	X4W3ENH1CV
DB00368	ZW81GF408B
DB00369	768M1V522C
DB00369	JIL713Q00N
DB00369	M83JB37U61
DB00370	4685R51V7M
DB00370	I2U18E6JKA
DB00371	9I7LNY769Q
DB00372	8ETK1WAF6R
DB00372	RUK64CF26E
DB00373	2BG20ZUO2E
DB00373	5JKY92S7BR
DB00373	817W3C6175
DB00373	P8Y54F701R
DB00374	7JZ75N2NT6
DB00374	H1FKG90039
DB00374	RUM6K67ESG
DB00375	SCR89B4R6O
DB00375	VEC01H609I
DB00375	YZD1C9KQ28
DB00377	23310D4I19
DB00377	5D06587D6R
DB00378	90I02KLE8K
DB00378	EF38VA583P
DB00378	S48G465CS3
DB00380	048L81261F
DB00381	0P6NLP6806
DB00382	4966RNG0BU
DB00382	4VX7YNB537
DB00382	MQ603P8SBL
DB00384	WS821Z52LQ
DB00385	2C6NUM6878
DB00388	04JA59TNSJ
DB00388	1WS297W6MV
DB00388	27O3Q5ML57
DB00388	7Z1M2H6R7G
DB00389	8KQ660G60G
DB00390	73K4184T59
DB00391	4109R0VM5R
DB00391	JTG7R315LK
DB00394	4H7L9AI22I
DB00394	5B307S63B2
DB00396	4G7DS2Q64Y
DB00397	184M412SJH
DB00397	E1L4ZW2F8O
DB00397	IX73851J3P
DB00398	5T62Q3B36J
DB00398	9ZOQ3TZI87
DB00399	5CSV5K1879
DB00399	6XC1PAD3KF
DB00399	70HZ18PH24
DB00399	7D7GS1SA24
DB00399	7U1LPD9FR4
DB00400	32HRV3E3D5
DB00402	7A997Q53NR
DB00402	UZX80K71OE
DB00403	4E1MIA8QQL
DB00403	888Y08971B
DB00404	YU55MQ3IZY
DB00405	75T64B71RP
DB00405	BPA9UT29BS
DB00406	3GVJ31T6YY
DB00406	J4Z741D6O5
DB00408	376MYL4MAL
DB00408	LER583670J
DB00408	X59SG0MRYU
DB00409	0223RD59PE
DB00409	MH4OU8RWCW
DB00409	QS4S72U30K
DB00410	870F25Y7EK
DB00410	D0GX863OA5
DB00410	RG38I2P540
DB00411	54Z8M50D6Q
DB00411	8Y164V895Y
DB00411	Q32ZN48698
DB00411	QTT17582CB
DB00413	3D867NP06J
DB00413	4R2HD0M28N
DB00413	795J01AE70
DB00413	83619PEU5T
DB00413	I9038PKO43
DB00413	WI638GUS96
DB00414	QGC8W08I6I
DB00415	7C782967RD
DB00415	8A67A5BM29
DB00415	E1TD7AM884
DB00415	HXQ6A1N7R6
DB00415	JFN36L5S8K
DB00415	QX84OZZ2XK
DB00415	SFV84J2559
DB00415	SXU8YTQ4S4
DB00416	09G4I6V86Q
DB00416	0O224LNG2M
DB00416	1526IW77GM
DB00416	15BE4G33H2
DB00416	4GC1FOQ22U
DB00416	4U541R2E6L
DB00416	505TLP46J6
DB00416	5TY3055J2U
DB00416	694C0EFT9Q
DB00416	98QPV8670C
DB00416	9BV8610D7E
DB00416	EK557FCO82
DB00416	N37KB761Z5
DB00416	O0U0E87X7F
DB00416	QTO9S95T6L
DB00416	T98FI7Y8K4
DB00416	U6R26MK0LQ
DB00416	V0M92G2U26
DB00416	V1UJ6I93CL
DB00417	0O9M95L1H0
DB00417	146T0TU1JB
DB00417	3750YH4NM7
DB00417	3RGQ4B6E87
DB00417	3T4EMH59ZU
DB00417	8T7T79P87L
DB00417	Z61I075U2W
DB00418	FG3SCI1960
DB00418	HX75939EI7
DB00419	ADN3S497AZ
DB00419	GVS3YDM418
DB00420	C09N9Q6M32
DB00420	M4011G9T8I
DB00420	O9M39HTM5W
DB00420	U16EOR79U4
DB00421	27O7W4T232
DB00422	1678OK0E08
DB00422	M32RH9MFGP
DB00424	F2R8V82B84
DB00424	IWT50P9S79
DB00424	PX44XO846X
DB00425	7K383OQI23
DB00425	WY6W63843K
DB00426	QIC03ANI02
DB00427	2L8T9S52QM
DB00427	NG7A104R3J
DB00427	YAN7R5L890
DB00429	023C2WHX2V
DB00429	7B5032XT6O
DB00429	U4526F86FJ
DB00430	137KB7GYKB
DB00430	P936YA152N
DB00431	59NEE7PCAB
DB00431	YM80ODM9PD
DB00432	RMW9V5RW38
DB00433	531SH87H9N
DB00433	I1T8O1JTL6
DB00433	PG20W5VQZS
DB00433	YHP6YLT61T
DB00434	0S9323MCT0
DB00434	2YHB6175DO
DB00434	NJ82J0F8QC
DB00434	XE931AC6AQ
DB00434	XK14HG3ANJ
DB00435	31C4KY9ESH
DB00437	428673RC2Z
DB00437	63CZ7GJN5I
DB00438	9M416Z9QNR
DB00438	CMC30V039K
DB00439	6Q18G1060S
DB00439	AM91H2KS67
DB00440	9XE000OU9B
DB00440	AN164J8Y0X
DB00440	E377MF8EQ8
DB00441	B76N6SBZ8R
DB00441	U347PV74IL
DB00442	5968Y6H45M
DB00442	NNU2O4609D
DB00443	7S5I7G3JQL
DB00443	9842X06Q6M
DB00444	957E6438QA
DB00445	3Z8479ZZ5X
DB00445	80168379AG
DB00446	0Q3FUR6289
DB00446	66974FR9Q1
DB00447	3X11EVM5SU
DB00447	W72I5ZT78Z
DB00448	FB55O16184
DB00448	HS2S9VK3NH
DB00448	UYE4T5I70X
DB00450	O9U0F09D5X
DB00451	054I36CPMN
DB00451	0H00N2AHSP
DB00451	4W9K63FION
DB00451	J60FX7V025
DB00451	Q51BO43MG4
DB00452	31867650GG
DB00452	4BOC774388
DB00452	6B1U1NS16Z
DB00452	88L7V8H11U
DB00452	Y3720KZ4TQ
DB00452	YF6OW6S539
DB00453	YP0241BU76
DB00454	9E338QE28F
DB00454	N8E7F7Q170
DB00455	7AJO3BO7QN
DB00456	C22G6EYP8B
DB00456	R72LW146E6
DB00457	X0Z7454B90
DB00457	XM03YJ541D
DB00458	7GLU742D6Y
DB00458	BKE5Q1J60U
DB00458	OGG85SX4E4
DB00459	LCH760E9T7
DB00461	LW0TIW155Z
DB00462	3IY7CNP8XJ
DB00462	952902IX06
DB00462	C684AL3ZG7
DB00462	K0813KQM3V
DB00462	KQ7PNA8VW2
DB00462	LTM112Q284
DB00462	RTN51LK7WL
DB00462	VDR09VTQ8U
DB00462	Z5W1X83FUI
DB00463	02OS7K758T
DB00464	2X50FW96YS
DB00464	6VOC18EIBH
DB00464	LW5244PD75
DB00464	Z47W1J1C47
DB00466	9K011NUF0R
DB00466	U06Z6QD7N2
DB00467	325OGW249P
DB00468	4M9989F55E
DB00468	A7V27PHC7A
DB00468	ITX08688JL
DB00468	RN974X9U97
DB00470	7J8897W37S
DB00471	H28ST60VMZ
DB00471	MHM278SD3E
DB00471	O71E8P3Y4C
DB00471	U1O3J18SFL
DB00472	7C4D25ST1T
DB00472	F279341RUQ
DB00475	6RZ6XEZ3CR
DB00475	MFM6K1XWDK
DB00476	7AKC5EXT4Q
DB00476	9044SC542W
DB00476	O5TNM5N07U
DB00476	TK9VOT90JQ
DB00477	46995AIA65
DB00477	5PYC320IMD
DB00477	657G38Q829
DB00477	85RG9X8ZHE
DB00477	9WP59609J6
DB00477	Q98X428KKM
DB00477	U42B7VYA4P
DB00479	84319SGC3C
DB00479	N6M33094FD
DB00481	4F86W47BR6
DB00481	YX9162EO3I
DB00482	JCX84Q7J1L
DB00483	09G4I6V86Q
DB00483	1526IW77GM
DB00483	4GC1FOQ22U
DB00483	4U541R2E6L
DB00483	505TLP46J6
DB00483	5TY3055J2U
DB00483	694C0EFT9Q
DB00483	98QPV8670C
DB00483	9BV8610D7E
DB00483	EK557FCO82
DB00483	N37KB761Z5
DB00483	Q3254X40X2
DB00483	QTO9S95T6L
DB00483	T98FI7Y8K4
DB00483	U6R26MK0LQ
DB00483	V1UJ6I93CL
DB00483	VYJ027LZ05
DB00484	4S9CL2DY2H
DB00484	E6GNX3HHTE
DB00485	4CKS6MOL6Z
